time,request_id,decision,phi,vehicle_id,position
32517.935921496082,R50_C8,inserted,1.0,0.0,0.0
33563.413891989934,R50_C14,inserted,1.0,0.0,5.0
33651.97236427257,R50_C15,inserted,1.0,0.0,2.0
34061.59530363291,R50_C17,inserted,1.0,2.0,0.0
34336.45875937648,R50_C20,inserted,1.0,0.0,6.0
34405.34938020774,R50_C21,inserted,1.0,2.0,0.0
34509.510038103734,R50_C22,inserted,1.0,0.0,7.0
35490.557544937175,R50_C28,inserted,1.0,2.0,0.0
35884.52853751424,R50_C29,inserted,1.0,2.0,0.0
36136.74845593603,R50_C32,inserted,1.0,1.0,6.0
36524.769093684285,R50_C33,inserted,1.0,2.0,1.0
37306.64845443973,R50_C37,inserted,1.0,1.0,6.0
37589.23884585991,R50_C42,inserted,1.0,1.0,1.0
37806.74257143344,R50_C45,inserted,1.0,0.0,0.0
38495.013443203934,R50_C49,inserted,1.0,2.0,2.0
38510.49811272909,R50_C50,inserted,1.0,1.0,1.0
38735.45891047812,R50_C54,inserted,1.0,0.0,2.0
38984.67186974846,R50_C56,inserted,1.0,1.0,0.0
39296.006730318746,R50_C58,inserted,1.0,2.0,2.0
39735.54212306176,R50_C62,inserted,1.0,1.0,5.0
39777.85959907656,R50_C63,inserted,1.0,0.0,6.0
40509.893412887395,R50_C66,inserted,1.0,2.0,2.0
40926.21444572885,R50_C70,inserted,1.0,1.0,4.0
40990.069114965554,R50_C72,inserted,1.0,1.0,5.0
41242.867085724814,R50_C74,inserted,1.0,0.0,5.0
42078.566305677254,R50_C79,inserted,1.0,0.0,4.0
42408.95639616324,R50_C80,inserted,1.0,2.0,0.0
42604.90784499142,R50_C81,inserted,1.0,0.0,0.0
42684.007879431134,R50_C83,inserted,1.0,1.0,2.0
43462.73545422787,R50_C91,inserted,1.0,2.0,0.0
43509.949887267016,R50_C92,inserted,1.0,2.0,1.0
44644.71376126411,R50_C95,inserted,1.0,0.0,0.0
44668.28808747917,R50_C96,inserted,1.0,2.0,0.0
44757.23326489568,R50_C97,inserted,1.0,1.0,2.0
44946.66144566729,R50_C99,inserted,1.0,0.0,4.0
45528.84062212477,R50_C100,inserted,1.0,2.0,1.0
45759.43929989395,R50_C103,inserted,1.0,2.0,0.0
46127.09324641514,R50_C104,inserted,1.0,2.0,2.0
46320.25531530163,R50_C107,inserted,1.0,1.0,0.0
46324.98953250425,R50_C108,inserted,1.0,2.0,4.0
46480.9619907571,R50_C111,inserted,1.0,2.0,3.0
46515.070745528144,R50_C112,inserted,1.0,1.0,0.0
46727.54735832879,R50_C114,inserted,1.0,2.0,1.0
47103.241509927786,R50_C116,inserted,1.0,2.0,4.0
47158.12523818155,R50_C117,inserted,1.0,1.0,0.0
47447.65970241745,R50_C118,inserted,1.0,2.0,7.0
47854.367560934596,R50_C121,inserted,1.0,1.0,0.0
47950.03476930188,R50_C123,inserted,1.0,2.0,1.0
48335.20198109494,R50_C125,inserted,1.0,1.0,0.0
48625.08938704954,R50_C127,inserted,1.0,2.0,0.0
48954.364788761304,R50_C128,inserted,1.0,1.0,0.0
49210.5347472916,R50_C132,inserted,1.0,1.0,0.0
49529.30789483209,R50_C136,inserted,1.0,1.0,2.0
49558.51958704794,R50_C137,inserted,1.0,2.0,6.0
49790.66718659598,R50_C141,inserted,1.0,2.0,5.0
50105.14210645052,R50_C144,inserted,0.8,2.0,7.0
50291.52803984431,R50_C145,inserted,1.0,1.0,0.0
50373.95765210805,R50_C147,undecided,0.4,,
50515.072136983275,R50_C149,inserted,1.0,0.0,10.0
50859.808313080386,R50_C152,inserted,1.0,1.0,7.0
51087.081850161245,R50_C153,inserted,1.0,2.0,6.0
51463.09848717442,R50_C155,undecided,0.2,,
51756.37951063801,R50_C156,inserted,1.0,1.0,3.0
52434.328394764954,R50_C158,inserted,0.6,1.0,4.0
52576.405495959785,R50_C161,postponed,0.0,,
52820.15167898516,R50_C162,postponed,0.0,,
52842.96270520018,R50_C163,postponed,0.0,,
52846.81197660618,R50_C164,inserted,1.0,2.0,3.0
52852.579539219056,R50_C165,inserted,1.0,2.0,2.0
52986.017229990735,R50_C166,postponed,0.0,,
53057.79026187146,R50_C167,inserted,1.0,2.0,6.0
53383.188079242755,R50_C172,inserted,1.0,2.0,8.0
54077.061646210765,R50_C180,undecided,0.4,,
54130.01764875565,R50_C181,undecided,0.4,,
54815.84257360498,R50_C183,postponed,0.0,,
54985.93698605392,R50_C184,postponed,0.0,,
55031.45943256657,R50_C185,inserted,1.0,1.0,6.0
55241.83082753301,R50_C186,inserted,1.0,2.0,3.0
