time,request_id,decision,phi,vehicle_id,position
32715.175161722145,R20_C5,inserted,1.0,0.0,1.0
32792.83520949853,R20_C7,inserted,1.0,0.0,2.0
33114.54974852798,R20_C9,inserted,1.0,2.0,0.0
33298.41125243137,R20_C10,inserted,1.0,0.0,0.0
33377.78397804414,R20_C12,inserted,1.0,0.0,2.0
34217.617941838405,R20_C17,inserted,1.0,0.0,5.0
34643.223579485086,R20_C19,inserted,1.0,2.0,2.0
34805.98231185378,R20_C21,inserted,1.0,0.0,1.0
34868.26114393048,R20_C23,inserted,1.0,2.0,2.0
35092.527242302946,R20_C24,inserted,1.0,2.0,2.0
35453.93245026509,R20_C27,inserted,1.0,2.0,7.0
35513.7571039932,R20_C28,inserted,1.0,0.0,0.0
35699.95669360248,R20_C32,inserted,1.0,1.0,2.0
35700.264983555564,R20_C33,inserted,1.0,2.0,7.0
35764.47661944885,R20_C34,inserted,1.0,2.0,5.0
35795.86529535112,R20_C35,inserted,1.0,2.0,2.0
36059.25878241317,R20_C40,inserted,1.0,0.0,0.0
36072.91275632583,R20_C42,inserted,1.0,2.0,8.0
36160.09369544528,R20_C43,inserted,1.0,1.0,0.0
36634.83815085353,R20_C47,inserted,1.0,0.0,0.0
37009.66181709637,R20_C51,inserted,1.0,2.0,5.0
37393.2768908936,R20_C53,inserted,1.0,2.0,8.0
37808.73679259024,R20_C55,inserted,1.0,2.0,8.0
38171.62809544296,R20_C60,inserted,1.0,2.0,9.0
38500.944342917704,R20_C64,inserted,1.0,1.0,0.0
38904.88362141052,R20_C68,inserted,1.0,2.0,1.0
39129.20824599274,R20_C72,inserted,1.0,2.0,11.0
39205.11460612271,R20_C74,inserted,1.0,2.0,7.0
39222.56214226004,R20_C75,inserted,1.0,1.0,1.0
39630.67125866657,R20_C78,inserted,1.0,1.0,2.0
40303.50231103909,R20_C85,inserted,1.0,2.0,13.0
40376.35602392147,R20_C86,inserted,1.0,2.0,0.0
41092.486004163904,R20_C89,inserted,1.0,2.0,6.0
41129.52294005959,R20_C90,inserted,1.0,2.0,8.0
41331.79800011323,R20_C94,inserted,1.0,1.0,0.0
41731.370120026564,R20_C96,inserted,1.0,2.0,11.0
41847.29094183137,R20_C97,inserted,1.0,2.0,10.0
41856.47495190213,R20_C98,inserted,1.0,2.0,9.0
42558.68440238843,R20_C102,inserted,1.0,2.0,15.0
42655.5893487061,R20_C104,inserted,1.0,2.0,17.0
43127.868796856346,R20_C108,inserted,1.0,0.0,0.0
43701.91515130332,R20_C110,inserted,1.0,2.0,10.0
43995.04126061327,R20_C111,inserted,1.0,2.0,3.0
44080.04255489623,R20_C113,inserted,1.0,2.0,11.0
44249.06786264127,R20_C114,inserted,1.0,1.0,12.0
44684.14240308864,R20_C119,inserted,1.0,2.0,19.0
44832.62880015062,R20_C120,inserted,1.0,1.0,13.0
45022.69450909252,R20_C122,inserted,0.6,2.0,6.0
45077.0448787658,R20_C123,undecided,0.2,,
45157.12831733524,R20_C124,inserted,1.0,2.0,17.0
45158.21614666803,R20_C125,inserted,1.0,0.0,9.0
45797.60513787103,R20_C128,inserted,0.8,0.0,10.0
46536.26587369507,R20_C134,inserted,1.0,0.0,9.0
46580.905996251546,R20_C135,inserted,1.0,0.0,4.0
47141.26528405025,R20_C142,inserted,0.8,0.0,11.0
47288.69409636806,R20_C143,inserted,0.6,0.0,10.0
47385.05131994036,R20_C145,postponed,0.0,,
47495.3931470853,R20_C147,inserted,1.0,0.0,9.0
47579.13985576789,R20_C148,undecided,0.4,,
47805.99624046386,R20_C149,inserted,0.6,1.0,6.0
47989.86876689259,R20_C152,inserted,1.0,1.0,6.0
48213.701043775465,R20_C153,inserted,1.0,1.0,7.0
49435.62159841767,R20_C160,postponed,0.0,,
49484.454497167375,R20_C161,inserted,0.8,0.0,4.0
49587.78152991121,R20_C163,postponed,0.0,,
49713.87130809331,R20_C165,postponed,0.0,,
50550.657060919606,R20_C170,inserted,1.0,1.0,2.0
50820.00853404314,R20_C172,inserted,1.0,1.0,4.0
51049.71821508921,R20_C173,postponed,0.0,,
51125.1810285127,R20_C174,inserted,1.0,0.0,2.0
51367.408848726234,R20_C176,postponed,0.0,,
51541.42874915942,R20_C178,postponed,0.0,,
51990.63614884378,R20_C181,inserted,1.0,1.0,5.0
51995.29854720555,R20_C182,inserted,1.0,1.0,2.0
52151.90186205121,R20_C183,inserted,1.0,0.0,5.0
52201.01251762233,R20_C184,inserted,1.0,1.0,2.0
52392.739401988314,R20_C185,postponed,0.0,,
52812.21817161704,R20_C186,inserted,1.0,1.0,5.0
52989.60022587363,R20_C187,inserted,1.0,1.0,3.0
53082.87003924132,R20_C189,postponed,0.0,,
53496.17730458777,R20_C192,inserted,1.0,1.0,0.0
53511.14599533316,R20_C193,postponed,0.0,,
53597.64563068989,R20_C194,postponed,0.0,,
53697.316088066495,R20_C196,inserted,1.0,1.0,6.0
53752.61075864741,R20_C197,postponed,0.0,,
53758.442101628185,R20_C198,postponed,0.0,,
53861.61614037175,R20_C199,postponed,0.0,,
54101.570390543275,R20_C200,inserted,1.0,1.0,1.0
54269.11452858789,R20_C203,postponed,0.0,,
54893.12222950415,R20_C206,postponed,0.0,,
