tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,34252,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37209,1000000000000,1000000000000,1000000000000,False
34450,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43043,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38939,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,34520,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36064,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40483,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37771,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36849,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,41911,1000000000000,1000000000000,1000000000000,False
35160,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43875,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44485,1000000000000,1000000000000,1000000000000,False
36209,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37347,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,37815,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42305,1000000000000,1000000000000,False
1000000000000,35554,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,37850,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41848,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40566,1000000000000,False
38003,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40246,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43562,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43028,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,44189,1000000000000,1000000000000,False
1000000000000,37972,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47703,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42274,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40815,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49787,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46568,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,47205,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,45800,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47478,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,48474,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41597,1000000000000,1000000000000,False
1000000000000,41125,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41332,False
1000000000000,1000000000000,1000000000000,48769,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49728,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46214,False
1000000000000,1000000000000,1000000000000,48383,1000000000000,1000000000000,1000000000000,False
43929,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
42945,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43933,False
40808,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
43558,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47553,False
1000000000000,1000000000000,1000000000000,1000000000000,51334,1000000000000,1000000000000,False
1000000000000,41642,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44316,False
1000000000000,45058,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44655,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45102,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45016,False
1000000000000,1000000000000,1000000000000,1000000000000,51035,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46961,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47081,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45424,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51235,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45637,1000000000000,False
1000000000000,42735,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
41703,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46701,1000000000000,False
42311,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51603,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45023,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52244,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50304,1000000000000,1000000000000,False
58423,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
56559,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
45884,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49111,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,52222,1000000000000,1000000000000,False
1000000000000,46499,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52575,1000000000000,False
59136,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
52027,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,52585,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50914,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47480,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53106,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52706,1000000000000,1000000000000,1000000000000,False
44424,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55351,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50307,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,45456,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,54053,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
57782,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
56978,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
47211,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,54991,False
58821,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47782,1000000000000,1000000000000,1000000000000,False
