tiempos_c0,tiempos_c1,indicador
1000000000000,1000000000000,True
1000000000000,34538,False
33679,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,40723,False
1000000000000,43841,False
1000000000000,39516,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,41341,False
1000000000000,38383,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,37580,False
1000000000000,1000000000000,False
1000000000000,42081,False
34323,1000000000000,True
1000000000000,1000000000000,False
35438,1000000000000,True
53177,1000000000000,True
1000000000000,36723,False
1000000000000,39900,False
1000000000000,42833,False
1000000000000,1000000000000,False
54698,1000000000000,True
43006,1000000000000,True
41879,1000000000000,True
1000000000000,1000000000000,False
36371,1000000000000,True
1000000000000,1000000000000,False
43830,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
37388,1000000000000,True
1000000000000,47043,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
51998,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
39065,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,45825,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
48692,1000000000000,True
1000000000000,47786,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,49571,False
49263,1000000000000,True
39655,1000000000000,True
1000000000000,1000000000000,False
1000000000000,45279,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,48233,False
1000000000000,49314,False
57266,1000000000000,True
43363,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
45775,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
40768,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
42381,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,46610,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
46983,1000000000000,True
56520,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
51594,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,48805,False
1000000000000,50789,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
44706,1000000000000,True
1000000000000,1000000000000,False
58913,1000000000000,True
1000000000000,1000000000000,False
1000000000000,53219,False
1000000000000,1000000000000,False
51183,1000000000000,True
1000000000000,1000000000000,False
54315,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
47616,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
50144,1000000000000,True
53940,1000000000000,True
1000000000000,1000000000000,False
48188,1000000000000,True
1000000000000,1000000000000,True
57708,1000000000000,True
1000000000000,1000000000000,False
1000000000000,58378,False
1000000000000,1000000000000,True
1000000000000,53510,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,54112,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,56332,False
1000000000000,1000000000000,False
1000000000000,55779,False
50638,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,57233,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,57537,False
1000000000000,55299,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
52688,1000000000000,True
1000000000000,1000000000000,False
58312,1000000000000,True
1000000000000,54712,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,59811,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
56261,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
55265,1000000000000,True
1000000000000,1000000000000,True
55705,1000000000000,True
