rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,no_improvement_time_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed
False,data,1,1,20,160,40.0,5,,,,,,,,42
False,data,1,2,20,160,40.0,5,,,,,,,,42
False,data,1,3,20,160,40.0,5,,,,,,,,42
False,data,1,4,20,160,40.0,5,,,,,,,,42
False,data,1,5,20,160,40.0,5,,,,,,,,42
False,data,1,6,20,160,40.0,5,,,,,,,,42
False,data,1,7,20,160,40.0,5,,,,,,,,42
False,data,1,8,20,160,40.0,5,,,,,,,,42
False,data,1,9,20,160,40.0,5,,,,,,,,42
False,data,1,10,20,160,40.0,5,,,,,,,,42
False,data,1,11,20,160,40.0,5,,,,,,,,42
False,data,1,12,20,160,40.0,5,,,,,,,,42
False,data,1,13,20,160,40.0,5,,,,,,,,42
False,data,1,14,20,160,40.0,5,,,,,,,,42
False,data,1,15,20,160,40.0,5,,,,,,,,42
False,data,1,16,20,160,40.0,5,,,,,,,,42
False,data,1,17,20,160,40.0,5,,,,,,,,42
False,data,1,18,20,160,40.0,5,,,,,,,,42
False,data,1,19,20,160,40.0,5,,,,,,,,42
False,data,1,20,20,160,40.0,5,,,,,,,,42
