tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi
1000000000000,1000000000000,1000000000000,59146
1000000000000,1000000000000,1000000000000,59226
1000000000000,1000000000000,1000000000000,59079
1000000000000,1000000000000,58579,1000000000000
1000000000000,1000000000000,1000000000000,58553
1000000000000,1000000000000,1000000000000,59602
1000000000000,1000000000000,1000000000000,58966
1000000000000,1000000000000,58153,1000000000000
58393,1000000000000,1000000000000,1000000000000
1000000000000,54450,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,58965
53750,1000000000000,1000000000000,1000000000000
1000000000000,54987,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59185
1000000000000,1000000000000,1000000000000,59507
1000000000000,1000000000000,1000000000000,58910
1000000000000,1000000000000,1000000000000,59350
1000000000000,1000000000000,1000000000000,58936
1000000000000,1000000000000,1000000000000,59238
1000000000000,1000000000000,1000000000000,58478
1000000000000,1000000000000,1000000000000,58837
52813,1000000000000,1000000000000,1000000000000
1000000000000,55699,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59302
1000000000000,1000000000000,1000000000000,60096
1000000000000,1000000000000,1000000000000,60320
1000000000000,1000000000000,1000000000000,58999
55694,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59565
59260,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59986
1000000000000,1000000000000,1000000000000,58895
1000000000000,1000000000000,1000000000000,59778
55161,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59947
1000000000000,1000000000000,1000000000000,59416
56927,1000000000000,1000000000000,1000000000000
58066,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,59152
