replica,U_relativa,D_camiones
0,0.45396825396825397,404880.16
1,0.44089456869009586,403109.5
2,0.418732782369146,415630.12
3,0.3764367816091954,428036.3
4,0.41420118343195267,411762.72
5,0.41818181818181815,405001.9
6,0.39465875370919884,389168.53
7,0.38285714285714284,402265.5
8,0.41032608695652173,407590.94
9,0.4299363057324841,412938.34
