tiempos_c0,tiempos_c1,tiempos_c2,indicador
1000000000000,1000000000000,1000000000000,True
33742,1000000000000,1000000000000,True
41196,1000000000000,1000000000000,True
1000000000000,33862,1000000000000,False
33490,1000000000000,1000000000000,True
35548,1000000000000,1000000000000,True
1000000000000,36352,1000000000000,False
1000000000000,41624,1000000000000,False
1000000000000,36038,1000000000000,False
1000000000000,42693,1000000000000,False
1000000000000,44402,1000000000000,False
1000000000000,37545,1000000000000,False
1000000000000,35582,1000000000000,False
1000000000000,34989,1000000000000,False
1000000000000,38770,1000000000000,False
41848,1000000000000,1000000000000,True
40223,1000000000000,1000000000000,True
1000000000000,1000000000000,36947,False
1000000000000,1000000000000,40441,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,41099,False
1000000000000,1000000000000,41695,False
1000000000000,1000000000000,43906,False
1000000000000,1000000000000,38973,False
1000000000000,1000000000000,39953,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,46940,False
1000000000000,1000000000000,43201,False
1000000000000,1000000000000,40161,False
1000000000000,1000000000000,46429,False
37375,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,39549,False
1000000000000,1000000000000,44420,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
38827,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
39291,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
40699,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
46651,1000000000000,1000000000000,True
1000000000000,1000000000000,50186,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
43757,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,51228,False
1000000000000,1000000000000,1000000000000,False
49578,1000000000000,1000000000000,True
55177,1000000000000,1000000000000,True
1000000000000,46430,1000000000000,False
42266,1000000000000,1000000000000,True
1000000000000,46098,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,49016,1000000000000,False
1000000000000,46983,1000000000000,False
57095,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,49866,1000000000000,False
1000000000000,1000000000000,49510,False
1000000000000,1000000000000,1000000000000,True
50217,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
47273,1000000000000,1000000000000,True
44650,1000000000000,1000000000000,True
59094,1000000000000,1000000000000,True
1000000000000,1000000000000,46048,False
1000000000000,1000000000000,1000000000000,False
43054,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,49270,False
56313,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,47572,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,48203,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,53523,1000000000000,False
1000000000000,1000000000000,1000000000000,False
45534,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
57440,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,50791,False
1000000000000,54462,1000000000000,False
55946,1000000000000,1000000000000,True
47749,1000000000000,1000000000000,True
1000000000000,1000000000000,48382,False
54795,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,47862,1000000000000,False
59498,1000000000000,1000000000000,True
49301,1000000000000,1000000000000,True
1000000000000,1000000000000,47616,False
58180,1000000000000,1000000000000,True
1000000000000,47331,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,48467,1000000000000,False
45028,1000000000000,1000000000000,True
1000000000000,52601,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,53175,1000000000000,False
1000000000000,1000000000000,53607,False
1000000000000,1000000000000,1000000000000,False
1000000000000,51880,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
46241,1000000000000,1000000000000,True
57800,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,54442,False
1000000000000,1000000000000,1000000000000,True
58670,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53930,False
1000000000000,51263,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,52289,1000000000000,False
1000000000000,1000000000000,1000000000000,True
48817,1000000000000,1000000000000,True
1000000000000,1000000000000,56339,False
1000000000000,1000000000000,55382,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
58890,1000000000000,1000000000000,True
1000000000000,1000000000000,55073,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,58294,1000000000000,False
49945,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,54763,False
1000000000000,54100,1000000000000,False
1000000000000,1000000000000,52894,False
1000000000000,1000000000000,1000000000000,False
55617,1000000000000,1000000000000,True
1000000000000,50843,1000000000000,False
1000000000000,59037,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,55893,False
1000000000000,53784,1000000000000,False
54333,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
50737,1000000000000,1000000000000,True
52310,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,53229,False
56722,1000000000000,1000000000000,True
51548,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,57242,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
53675,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,58338,False
1000000000000,59992,1000000000000,False
1000000000000,56126,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,59238,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,56899,1000000000000,False
1000000000000,59534,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,56627,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,57738,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,58621,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
