tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi
1000000000000.0,1000000000000.0,1000000000000.0,61020
32495.0,1000000000000.0,1000000000000.0,1000000000000
33390.16381362012,1000000000000.0,1000000000000.0,1000000000000
34772.394674314644,1000000000000.0,1000000000000.0,1000000000000
36820.35193223525,1000000000000.0,1000000000000.0,1000000000000
38267.83498377107,1000000000000.0,1000000000000.0,1000000000000
40015.69827806784,1000000000000.0,1000000000000.0,1000000000000
41348.35972319472,1000000000000.0,1000000000000.0,1000000000000
42467.22651987005,1000000000000.0,1000000000000.0,1000000000000
44240.04703418763,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,34056.0,1000000000000.0,1000000000000
1000000000000.0,35851.453789046864,1000000000000.0,1000000000000
44942.3205912188,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,37885.78657475452,1000000000000.0,1000000000000
45675.94514995107,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,39017.72979844066,1000000000000.0,1000000000000
1000000000000.0,39902.818341166385,1000000000000.0,1000000000000
46829.114042817106,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,41075.41051487885,1000000000000.0,1000000000000
48375.5542557973,1000000000000.0,1000000000000.0,1000000000000
49780.704424018426,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,35837.0,1000000000000
1000000000000.0,1000000000000.0,36373.26394572833,1000000000000
50752.845560154965,1000000000000.0,1000000000000.0,1000000000000
51467.14683361828,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,42324.626553834336,1000000000000.0,1000000000000
51784.21577541228,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,42948.76897981039,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,36731.67848968057,1000000000000
52922.62594355426,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,37311.422182976494,1000000000000
1000000000000.0,1000000000000.0,38948.51442592658,1000000000000
54578.64567652166,1000000000000.0,1000000000000.0,1000000000000
55638.35086310233,1000000000000.0,1000000000000.0,1000000000000
57024.4552530455,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,41092.96390005635,1000000000000
1000000000000.0,1000000000000.0,42644.55712389875,1000000000000
1000000000000.0,44016.644027660375,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,44551.21038534647,1000000000000
1000000000000.0,1000000000000.0,45860.89309311958,1000000000000
1000000000000.0,45716.80781239364,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,47176
1000000000000.0,1000000000000.0,46491.22615924668,1000000000000
1000000000000.0,46432.97755140816,1000000000000.0,1000000000000
1000000000000.0,46727.38118978461,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,47133.85595599371,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59893
1000000000000.0,48026.14097519592,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59484
1000000000000.0,48455.82246449489,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,48515
1000000000000.0,1000000000000.0,47484.92770435849,1000000000000
1000000000000.0,49219.91635768114,1000000000000.0,1000000000000
1000000000000.0,50273.46149209379,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,49407.148230040715,1000000000000
1000000000000.0,50791.086654192346,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50433
57714.89056843272,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,51409.24839383627,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,49726
1000000000000.0,1000000000000.0,50342.20000898121,1000000000000
58541.540202712786,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50156
1000000000000.0,52000.37807211448,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,49838
1000000000000.0,1000000000000.0,1000000000000.0,60112
1000000000000.0,1000000000000.0,1000000000000.0,59637
1000000000000.0,1000000000000.0,1000000000000.0,59639
1000000000000.0,52334.83894961323,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50577
1000000000000.0,1000000000000.0,1000000000000.0,50775
1000000000000.0,52574.60620603261,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50293
1000000000000.0,1000000000000.0,51125.22598631603,1000000000000
1000000000000.0,1000000000000.0,52295.259111715735,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59495
1000000000000.0,1000000000000.0,1000000000000.0,58923
1000000000000.0,53221.19881392852,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,53390.95270822813,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60062
1000000000000.0,1000000000000.0,1000000000000.0,51961
1000000000000.0,1000000000000.0,1000000000000.0,52161
1000000000000.0,1000000000000.0,53902.94081782467,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59382
1000000000000.0,1000000000000.0,1000000000000.0,52791
1000000000000.0,1000000000000.0,1000000000000.0,52347
1000000000000.0,1000000000000.0,1000000000000.0,52019
1000000000000.0,53808.434078826554,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,52846
1000000000000.0,54087.60458108074,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60659
1000000000000.0,54428.811543583215,1000000000000.0,1000000000000
1000000000000.0,55191.42419931526,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,54831.67694922001,1000000000000
1000000000000.0,1000000000000.0,55487.19793241018,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59588
1000000000000.0,1000000000000.0,1000000000000.0,60744
1000000000000.0,1000000000000.0,1000000000000.0,53484
1000000000000.0,1000000000000.0,1000000000000.0,53924
1000000000000.0,1000000000000.0,1000000000000.0,55335
1000000000000.0,1000000000000.0,1000000000000.0,54419
1000000000000.0,1000000000000.0,1000000000000.0,54511
1000000000000.0,1000000000000.0,1000000000000.0,59558
1000000000000.0,55742.00183437137,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,56416.18447090061,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58400
1000000000000.0,1000000000000.0,1000000000000.0,53753
59011.97037025351,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,54951
1000000000000.0,1000000000000.0,1000000000000.0,55043
1000000000000.0,1000000000000.0,1000000000000.0,55526
1000000000000.0,1000000000000.0,1000000000000.0,59563
1000000000000.0,56265.770020312455,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,55439
1000000000000.0,1000000000000.0,57288.72279142107,1000000000000
1000000000000.0,56727.30847887188,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,56230
1000000000000.0,1000000000000.0,1000000000000.0,56085
1000000000000.0,57461.49331362152,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59665
1000000000000.0,1000000000000.0,1000000000000.0,59396
1000000000000.0,1000000000000.0,1000000000000.0,56624
1000000000000.0,1000000000000.0,1000000000000.0,55844
1000000000000.0,57740.90787992121,1000000000000.0,1000000000000
1000000000000.0,58110.0875255252,1000000000000.0,1000000000000
1000000000000.0,58770.38828544361,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,58336.9225284533,1000000000000
1000000000000.0,1000000000000.0,59033.88803929915,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59424
1000000000000.0,1000000000000.0,1000000000000.0,57091
1000000000000.0,1000000000000.0,1000000000000.0,57906
1000000000000.0,1000000000000.0,1000000000000.0,57786
1000000000000.0,1000000000000.0,1000000000000.0,60736
1000000000000.0,59454.78855608558,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59173
59325.00999774514,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59848
1000000000000.0,1000000000000.0,59578.32745441105,1000000000000
59987.32048296054,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59061
1000000000000.0,1000000000000.0,1000000000000.0,58507
1000000000000.0,1000000000000.0,1000000000000.0,59543
1000000000000.0,1000000000000.0,1000000000000.0,59010
1000000000000.0,1000000000000.0,1000000000000.0,59615
1000000000000.0,1000000000000.0,60025.1365609288,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60521
1000000000000.0,60080.81653148478,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59707
1000000000000.0,1000000000000.0,1000000000000.0,59669
1000000000000.0,1000000000000.0,1000000000000.0,59177
1000000000000.0,1000000000000.0,1000000000000.0,59146
1000000000000.0,1000000000000.0,1000000000000.0,59226
1000000000000.0,1000000000000.0,1000000000000.0,59079
1000000000000.0,1000000000000.0,1000000000000.0,60044
1000000000000.0,1000000000000.0,1000000000000.0,58553
1000000000000.0,1000000000000.0,1000000000000.0,59602
1000000000000.0,1000000000000.0,1000000000000.0,58966
1000000000000.0,60408.81259382005,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59949
1000000000000.0,1000000000000.0,60718.654909067205,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58965
1000000000000.0,1000000000000.0,1000000000000.0,59470
1000000000000.0,1000000000000.0,1000000000000.0,60242
1000000000000.0,1000000000000.0,1000000000000.0,59185
1000000000000.0,1000000000000.0,1000000000000.0,59507
1000000000000.0,1000000000000.0,1000000000000.0,58910
1000000000000.0,1000000000000.0,1000000000000.0,59350
1000000000000.0,1000000000000.0,1000000000000.0,58936
1000000000000.0,1000000000000.0,1000000000000.0,59238
1000000000000.0,1000000000000.0,1000000000000.0,58478
1000000000000.0,1000000000000.0,1000000000000.0,58837
1000000000000.0,1000000000000.0,1000000000000.0,59839
1000000000000.0,1000000000000.0,1000000000000.0,59892
1000000000000.0,1000000000000.0,1000000000000.0,59302
1000000000000.0,1000000000000.0,1000000000000.0,60096
60539.47047395207,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58999
1000000000000.0,1000000000000.0,1000000000000.0,59585
1000000000000.0,1000000000000.0,1000000000000.0,59565
1000000000000.0,1000000000000.0,1000000000000.0,59262
1000000000000.0,1000000000000.0,1000000000000.0,59986
1000000000000.0,1000000000000.0,1000000000000.0,58895
1000000000000.0,1000000000000.0,1000000000000.0,59778
1000000000000.0,1000000000000.0,1000000000000.0,59938
1000000000000.0,1000000000000.0,1000000000000.0,59947
1000000000000.0,1000000000000.0,1000000000000.0,59416
1000000000000.0,1000000000000.0,1000000000000.0,59935
1000000000000.0,1000000000000.0,1000000000000.0,60095
1000000000000.0,1000000000000.0,1000000000000.0,59152
