tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,34587,1000000000000,1000000000000,False
1000000000000,1000000000000,34217,1000000000000,False
35501,1000000000000,1000000000000,1000000000000,True
1000000000000,42268,1000000000000,1000000000000,False
33638,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36316,1000000000000,False
35851,1000000000000,1000000000000,1000000000000,True
1000000000000,38805,1000000000000,1000000000000,False
1000000000000,1000000000000,37091,1000000000000,False
1000000000000,37637,1000000000000,1000000000000,False
38511,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39150,1000000000000,False
1000000000000,43161,1000000000000,1000000000000,False
1000000000000,37079,1000000000000,1000000000000,False
1000000000000,43442,1000000000000,1000000000000,False
1000000000000,42636,1000000000000,1000000000000,False
1000000000000,40328,1000000000000,1000000000000,False
1000000000000,38366,1000000000000,1000000000000,False
1000000000000,39976,1000000000000,1000000000000,False
39968,1000000000000,1000000000000,1000000000000,True
36956,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,37786,False
1000000000000,1000000000000,1000000000000,40890,False
1000000000000,1000000000000,1000000000000,1000000000000,True
36400,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43734,False
1000000000000,1000000000000,1000000000000,42973,False
1000000000000,1000000000000,43137,1000000000000,False
1000000000000,1000000000000,1000000000000,41933,False
1000000000000,1000000000000,42657,1000000000000,False
41547,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42368,False
45172,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,49543,1000000000000,False
1000000000000,1000000000000,49139,1000000000000,False
1000000000000,1000000000000,42287,1000000000000,False
1000000000000,1000000000000,46527,1000000000000,False
1000000000000,1000000000000,45416,1000000000000,False
1000000000000,1000000000000,1000000000000,48542,False
1000000000000,1000000000000,43831,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
56216,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48047,False
40372,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50173,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
45362,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48341,False
1000000000000,1000000000000,1000000000000,50678,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,48484,1000000000000,1000000000000,False
41148,1000000000000,1000000000000,1000000000000,True
1000000000000,48238,1000000000000,1000000000000,False
42764,1000000000000,1000000000000,1000000000000,True
42021,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50050,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49513,False
57685,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46660,False
44089,1000000000000,1000000000000,1000000000000,True
44360,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
