Instancia,replica,U_relativa
0,0,0.35737704918032787
0,1,0.37748344370860926
0,2,0.31444759206798867
0,3,0.2982456140350877
0,4,0.3163265306122449
0,5,0.32362459546925565
0,6,0.37549407114624506
0,7,0.3059490084985836
0,8,0.3642611683848797
0,9,0.33860759493670883
1,0,0.3142857142857143
1,1,0.30670926517571884
1,2,0.2865013774104683
1,3,0.28448275862068967
1,4,0.2781065088757396
1,5,0.2787878787878788
1,6,0.27596439169139464
1,7,0.28
1,8,0.28532608695652173
1,9,0.321656050955414
2,0,0.38412698412698415
2,1,0.375
2,2,0.3633633633633634
2,3,0.3591331269349845
2,4,0.3663101604278075
2,5,0.3463687150837989
2,6,0.4129692832764505
2,7,0.35782747603833864
2,8,0.3549382716049383
2,9,0.41194029850746267
3,0,0.3873015873015873
3,1,0.32371794871794873
3,2,0.33633633633633636
3,3,0.33126934984520123
3,4,0.3609625668449198
3,5,0.3435754189944134
3,6,0.37542662116040953
3,7,0.3546325878594249
3,8,0.3395061728395062
3,9,0.3611940298507463
