Instancia,replica,U_relativa
0,0,0.6262295081967213
0,1,0.695364238410596
0,2,0.603399433427762
0,3,0.5847953216374269
0,4,0.6156462585034014
0,5,0.6343042071197411
0,6,0.6284584980237155
0,7,0.5892351274787535
0,8,0.6804123711340206
0,9,0.6677215189873418
1,0,0.580952380952381
1,1,0.6006389776357828
1,2,0.5840220385674931
1,3,0.5431034482758621
1,4,0.5621301775147929
1,5,0.5454545454545454
1,6,0.543026706231454
1,7,0.5542857142857143
1,8,0.5190217391304348
1,9,0.60828025477707
2,0,0.7015873015873015
2,1,0.6955128205128205
2,2,0.6516516516516516
2,3,0.6377708978328174
2,4,0.660427807486631
2,5,0.6815642458100558
2,6,0.7474402730375427
2,7,0.7156549520766773
2,8,0.6944444444444444
2,9,0.7044776119402985
3,0,0.692063492063492
3,1,0.6891025641025641
3,2,0.6366366366366366
3,3,0.6594427244582043
3,4,0.6550802139037433
3,5,0.6396648044692738
3,6,0.689419795221843
3,7,0.6677316293929713
3,8,0.6728395061728395
3,9,0.6776119402985075
