time,request_id,decision,phi,vehicle_id,position
33192.168718152105,R60_C9,inserted,1.0,0.0,1.0
34038.615356578404,R60_C11,inserted,1.0,0.0,0.0
34182.83119384823,R60_C13,inserted,1.0,0.0,2.0
35020.11390447125,R60_C14,inserted,1.0,0.0,8.0
35079.8670807048,R60_C16,inserted,1.0,0.0,8.0
35117.539354468936,R60_C17,inserted,1.0,0.0,9.0
35158.23373839791,R60_C18,inserted,1.0,0.0,7.0
36286.093048507355,R60_C21,inserted,1.0,0.0,10.0
36492.124101553054,R60_C23,inserted,1.0,1.0,0.0
36868.899950056024,R60_C24,inserted,1.0,0.0,3.0
37064.88369498895,R60_C26,inserted,1.0,1.0,3.0
37534.78584212031,R60_C29,inserted,1.0,1.0,1.0
37536.23275232543,R60_C30,inserted,1.0,1.0,5.0
37608.97312404274,R60_C31,inserted,1.0,1.0,0.0
37876.67796936077,R60_C32,inserted,1.0,2.0,0.0
38364.47391864954,R60_C34,inserted,1.0,0.0,10.0
38885.51014921536,R60_C37,inserted,1.0,1.0,1.0
38979.60597632357,R60_C38,inserted,1.0,2.0,0.0
39704.780491429825,R60_C40,inserted,1.0,0.0,2.0
39790.54691215039,R60_C42,inserted,1.0,0.0,3.0
39933.64499975067,R60_C43,inserted,1.0,2.0,0.0
40386.785331044965,R60_C49,inserted,1.0,0.0,7.0
40470.710514667575,R60_C51,inserted,1.0,0.0,11.0
40502.28803265251,R60_C52,inserted,1.0,0.0,1.0
40635.894925184184,R60_C54,inserted,1.0,0.0,9.0
41311.862720485966,R60_C60,inserted,1.0,0.0,2.0
42087.77683827692,R60_C72,inserted,1.0,0.0,7.0
42350.304808002125,R60_C77,inserted,1.0,0.0,5.0
42498.70981754592,R60_C78,inserted,1.0,1.0,0.0
42525.9576881971,R60_C79,inserted,1.0,0.0,3.0
42529.0252715076,R60_C80,inserted,1.0,0.0,5.0
42625.17201411854,R60_C81,inserted,1.0,0.0,5.0
42635.41016959157,R60_C83,inserted,1.0,0.0,17.0
42830.87006064831,R60_C86,inserted,1.0,0.0,2.0
43401.41070648286,R60_C89,inserted,1.0,0.0,8.0
43719.56227733618,R60_C91,inserted,1.0,0.0,3.0
43910.22749181397,R60_C93,inserted,1.0,2.0,2.0
44018.88933228746,R60_C95,inserted,1.0,0.0,5.0
44024.019042606706,R60_C96,inserted,1.0,0.0,1.0
44205.654916071166,R60_C101,inserted,1.0,1.0,2.0
44360.82511059682,R60_C104,inserted,1.0,1.0,3.0
44585.727061872996,R60_C106,inserted,1.0,1.0,1.0
44701.64956631592,R60_C110,inserted,1.0,2.0,9.0
44862.482808018605,R60_C112,inserted,1.0,2.0,11.0
45364.314665517384,R60_C116,inserted,1.0,0.0,17.0
45567.07654407643,R60_C119,inserted,1.0,1.0,3.0
45809.745749709866,R60_C125,inserted,1.0,2.0,9.0
46990.98976970293,R60_C136,inserted,1.0,2.0,10.0
47049.61152033909,R60_C137,inserted,1.0,2.0,7.0
47255.4377080707,R60_C139,inserted,1.0,2.0,10.0
47566.559399371145,R60_C142,inserted,1.0,1.0,1.0
47686.84070153551,R60_C145,inserted,1.0,2.0,11.0
48045.002926799985,R60_C146,inserted,1.0,2.0,8.0
48331.385419429644,R60_C148,inserted,1.0,2.0,8.0
48421.2914459301,R60_C149,inserted,1.0,1.0,0.0
48593.99580081929,R60_C151,inserted,1.0,1.0,0.0
49090.005181406574,R60_C156,inserted,1.0,1.0,0.0
49272.52605271477,R60_C157,inserted,1.0,1.0,3.0
49717.485305216374,R60_C160,postponed,0.0,,
49808.84566028048,R60_C161,inserted,1.0,0.0,5.0
50782.56518729032,R60_C166,inserted,1.0,2.0,8.0
51121.86658708132,R60_C169,inserted,1.0,2.0,5.0
51148.21739854128,R60_C170,inserted,0.8,2.0,4.0
51849.8764732843,R60_C175,postponed,0.0,,
51850.244534612975,R60_C176,postponed,0.0,,
52405.550626335265,R60_C181,postponed,0.0,,
52406.697854216145,R60_C182,postponed,0.0,,
52421.71813249057,R60_C183,postponed,0.0,,
52608.28884528216,R60_C186,postponed,0.0,,
53343.46662053516,R60_C190,inserted,0.8,1.0,9.0
53436.921667640265,R60_C191,postponed,0.0,,
53551.107218157784,R60_C192,postponed,0.0,,
54406.728720859865,R60_C196,postponed,0.0,,
