Instancia,replica,U_relativa
0,0,0.7278688524590164
0,1,0.7913907284768212
0,2,0.7138810198300283
0,3,0.6929824561403509
0,4,0.7312925170068028
0,5,0.7508090614886731
0,6,0.758893280632411
0,7,0.71671388101983
0,8,0.7972508591065293
0,9,0.7468354430379747
1,0,0.6825396825396826
1,1,0.6932907348242812
1,2,0.6528925619834711
1,3,0.6408045977011494
1,4,0.665680473372781
1,5,0.6515151515151515
1,6,0.6350148367952523
1,7,0.6371428571428571
1,8,0.595108695652174
1,9,0.6592356687898089
2,0,0.7746031746031746
2,1,0.7532051282051282
2,2,0.7657657657657657
2,3,0.718266253869969
2,4,0.7647058823529411
2,5,0.7737430167597765
2,6,0.856655290102389
2,7,0.8019169329073482
2,8,0.7654320987654321
2,9,0.7582089552238805
3,0,0.7746031746031746
3,1,0.7532051282051282
3,2,0.7357357357357357
3,3,0.7368421052631579
3,4,0.7379679144385026
3,5,0.7178770949720671
3,6,0.8054607508532423
3,7,0.7859424920127795
3,8,0.7345679012345679
3,9,0.7582089552238805
