time,request_id,decision,phi,vehicle_id,position
32421.031717400074,R0_C4,inserted,1.0,0.0,0.0
32465.871301224033,R0_C5,inserted,1.0,1.0,0.0
32499.90506327142,R0_C6,inserted,1.0,0.0,1.0
32568.02366451912,R0_C7,inserted,1.0,0.0,3.0
32697.751057763544,R0_C9,inserted,1.0,1.0,0.0
32766.631218754963,R0_C10,inserted,1.0,1.0,0.0
33357.53272388793,R0_C11,inserted,1.0,1.0,2.0
34233.73341476165,R0_C14,inserted,1.0,0.0,2.0
34274.40724340193,R0_C15,inserted,1.0,1.0,3.0
34739.669887280965,R0_C19,inserted,1.0,0.0,4.0
34811.90375713309,R0_C20,inserted,1.0,1.0,3.0
35047.961635909625,R0_C23,inserted,1.0,0.0,0.0
35151.86120575359,R0_C24,inserted,1.0,1.0,4.0
35566.596871189504,R0_C25,inserted,1.0,1.0,1.0
35670.89990224053,R0_C26,inserted,1.0,1.0,3.0
35772.541454383165,R0_C28,inserted,1.0,1.0,1.0
36207.827787327034,R0_C33,inserted,1.0,1.0,0.0
37374.93861648357,R0_C41,inserted,1.0,1.0,6.0
38517.365086463855,R0_C44,inserted,1.0,1.0,2.0
39034.38968917533,R0_C48,inserted,1.0,2.0,5.0
39715.33496661471,R0_C58,inserted,1.0,1.0,1.0
39850.37526537323,R0_C60,inserted,1.0,0.0,1.0
39977.39947131245,R0_C61,inserted,1.0,0.0,4.0
40970.29177685307,R0_C74,inserted,1.0,2.0,6.0
41051.102603240695,R0_C75,inserted,1.0,1.0,0.0
41753.85458178284,R0_C85,inserted,1.0,1.0,5.0
42257.92205581758,R0_C89,inserted,1.0,0.0,0.0
42825.29395318577,R0_C93,inserted,1.0,2.0,5.0
42858.418094182634,R0_C94,inserted,1.0,2.0,5.0
42938.10464972419,R0_C96,inserted,1.0,2.0,7.0
43156.92733362931,R0_C98,inserted,1.0,1.0,2.0
43371.27138451106,R0_C104,inserted,1.0,2.0,8.0
43620.78610742153,R0_C105,inserted,1.0,1.0,0.0
43631.926508518525,R0_C106,inserted,1.0,1.0,2.0
43814.94839402193,R0_C107,inserted,1.0,1.0,5.0
44160.255861117155,R0_C113,inserted,1.0,0.0,0.0
44282.441828740004,R0_C115,inserted,1.0,2.0,6.0
44471.11569923155,R0_C119,inserted,1.0,1.0,0.0
45290.97690913129,R0_C129,inserted,1.0,1.0,5.0
45539.05877521409,R0_C133,inserted,1.0,2.0,6.0
46054.85080758042,R0_C136,inserted,1.0,1.0,0.0
46099.827143409995,R0_C138,inserted,1.0,2.0,0.0
46123.48022696801,R0_C139,inserted,1.0,1.0,5.0
46463.97313808826,R0_C143,inserted,1.0,1.0,7.0
46739.52477700647,R0_C144,inserted,1.0,1.0,4.0
46741.75180730271,R0_C145,inserted,1.0,2.0,0.0
47191.04619999112,R0_C150,inserted,1.0,2.0,5.0
47464.4195640312,R0_C152,inserted,1.0,2.0,5.0
47579.51690136471,R0_C153,inserted,1.0,1.0,9.0
49013.90825960798,R0_C164,inserted,0.9,1.0,0.0
49938.40294958332,R0_C172,inserted,1.0,1.0,6.0
50041.84272223467,R0_C173,inserted,1.0,1.0,7.0
50325.6565934453,R0_C174,inserted,1.0,2.0,5.0
50537.36372838209,R0_C176,inserted,1.0,1.0,7.0
50642.030846745154,R0_C177,inserted,0.7,2.0,0.0
51760.41220805951,R0_C182,inserted,0.9,2.0,6.0
52048.343351566306,R0_C187,inserted,1.0,1.0,6.0
52069.778589016,R0_C188,postponed,0.0,,
52103.44352461074,R0_C189,postponed,0.0,,
52285.52313239543,R0_C190,postponed,0.0,,
52737.572600650245,R0_C193,inserted,1.0,2.0,0.0
53276.400971156334,R0_C197,postponed,0.0,,
53358.88397615217,R0_C198,postponed,0.0,,
54550.45119921113,R0_C203,postponed,0.0,,
54657.26342337938,R0_C204,inserted,1.0,2.0,6.0
54711.04060979843,R0_C205,inserted,1.0,2.0,4.0
54924.49021235789,R0_C206,postponed,0.0,,
