rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,no_improvement_time_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed
False,data,2,0,20,160,30.0,5,,,,,,,,42
False,data,2,1,20,160,30.0,5,,,,,,,,42
False,data,2,2,20,160,30.0,5,,,,,,,,42
False,data,2,3,20,160,30.0,5,,,,,,,,42
False,data,2,4,20,160,30.0,5,,,,,,,,42
False,data,2,5,20,160,30.0,5,,,,,,,,42
False,data,2,6,20,160,30.0,5,,,,,,,,42
False,data,2,7,20,160,30.0,5,,,,,,,,42
False,data,2,8,20,160,30.0,5,,,,,,,,42
False,data,2,9,20,160,30.0,5,,,,,,,,42
False,data,2,10,20,160,30.0,5,,,,,,,,42
False,data,2,11,20,160,30.0,5,,,,,,,,42
False,data,2,12,20,160,30.0,5,,,,,,,,42
False,data,2,13,20,160,30.0,5,,,,,,,,42
False,data,2,14,20,160,30.0,5,,,,,,,,42
False,data,2,15,20,160,30.0,5,,,,,,,,42
False,data,2,16,20,160,30.0,5,,,,,,,,42
False,data,2,17,20,160,30.0,5,,,,,,,,42
False,data,2,18,20,160,30.0,5,,,,,,,,42
False,data,2,19,20,160,30.0,5,,,,,,,,42
