tiempos_c0,tiempos_c1,indicador
1000000000000,1000000000000,True
34345,1000000000000,True
1000000000000,36137,False
1000000000000,1000000000000,False
1000000000000,38868,False
39025,1000000000000,True
35538,1000000000000,True
39950,1000000000000,True
34865,1000000000000,True
1000000000000,1000000000000,False
40536,1000000000000,True
36908,1000000000000,True
1000000000000,39962,False
1000000000000,1000000000000,True
1000000000000,43418,False
1000000000000,44294,False
1000000000000,39518,False
1000000000000,41824,False
1000000000000,40460,False
39461,1000000000000,True
1000000000000,41052,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,47505,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
41416,1000000000000,True
53658,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
45099,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
45483,1000000000000,True
1000000000000,46472,False
1000000000000,1000000000000,False
50859,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,48099,False
1000000000000,1000000000000,False
1000000000000,48486,False
1000000000000,52197,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
59490,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
42402,1000000000000,True
42000,1000000000000,True
59710,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,52943,False
1000000000000,46089,False
1000000000000,1000000000000,False
52019,1000000000000,True
1000000000000,1000000000000,False
1000000000000,51355,False
1000000000000,48972,False
1000000000000,1000000000000,False
1000000000000,47197,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,49350,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
59190,1000000000000,True
43338,1000000000000,True
52508,1000000000000,True
1000000000000,1000000000000,False
42820,1000000000000,True
1000000000000,1000000000000,False
46949,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
47446,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
50311,1000000000000,True
44356,1000000000000,True
1000000000000,46734,False
43827,1000000000000,True
51304,1000000000000,True
1000000000000,54873,False
1000000000000,1000000000000,False
46201,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
44715,1000000000000,True
50602,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,53317,False
1000000000000,51842,False
1000000000000,47832,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
49292,1000000000000,True
58926,1000000000000,True
48616,1000000000000,True
1000000000000,52472,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,57323,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
49645,1000000000000,True
1000000000000,1000000000000,False
1000000000000,53711,False
54941,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,58704,False
1000000000000,54140,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,59386,False
1000000000000,1000000000000,False
54149,1000000000000,True
1000000000000,1000000000000,False
1000000000000,51101,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,59772,False
1000000000000,1000000000000,True
51658,1000000000000,True
1000000000000,56578,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
56197,1000000000000,True
1000000000000,58480,False
1000000000000,57683,False
56986,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,58260,False
1000000000000,56993,False
55717,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
