tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37522,1000000000000,1000000000000,1000000000000,1000000000000,True
34097,1000000000000,1000000000000,1000000000000,1000000000000,True
36245,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,34714,1000000000000,1000000000000,False
33186,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,37332,1000000000000,1000000000000,False
1000000000000,34956,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39422,1000000000000,1000000000000,False
1000000000000,1000000000000,40962,1000000000000,1000000000000,False
36944,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41668,1000000000000,1000000000000,False
34911,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36773,1000000000000,1000000000000,False
1000000000000,1000000000000,38087,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37241,1000000000000,False
35629,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44618,1000000000000,False
1000000000000,1000000000000,1000000000000,40856,1000000000000,False
1000000000000,1000000000000,45420,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46449,1000000000000,False
1000000000000,1000000000000,1000000000000,39952,1000000000000,False
1000000000000,1000000000000,1000000000000,39398,1000000000000,False
1000000000000,38553,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44133,1000000000000,False
1000000000000,1000000000000,1000000000000,46071,1000000000000,False
1000000000000,1000000000000,1000000000000,42638,1000000000000,False
1000000000000,1000000000000,43468,1000000000000,1000000000000,False
39505,1000000000000,1000000000000,1000000000000,1000000000000,True
51782,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,39203,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,40057,False
39000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46866,1000000000000,1000000000000,False
1000000000000,1000000000000,45011,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41736,False
1000000000000,42091,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46266,1000000000000,1000000000000,False
1000000000000,1000000000000,44635,1000000000000,1000000000000,False
39915,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,42594,False
1000000000000,1000000000000,1000000000000,1000000000000,46584,False
40735,1000000000000,1000000000000,1000000000000,1000000000000,True
40364,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50942,1000000000000,False
59512,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50566,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,44063,False
43260,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,40463,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43847,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,45636,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
42927,1000000000000,1000000000000,1000000000000,1000000000000,True
43628,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,47698,1000000000000,1000000000000,False
43973,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51775,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
41244,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,43575,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,49994,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,45664,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,44256,1000000000000,1000000000000,False
50940,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,42954,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49847,1000000000000,False
1000000000000,1000000000000,51855,1000000000000,1000000000000,False
41924,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51398,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,49616,False
50392,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51512,1000000000000,False
1000000000000,1000000000000,52985,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49298,1000000000000,False
57844,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,49029,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,51388,False
45645,1000000000000,1000000000000,1000000000000,1000000000000,True
46236,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45927,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
54252,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
59126,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52732,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53662,False
1000000000000,1000000000000,1000000000000,50270,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
47056,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,49449,1000000000000,1000000000000,False
1000000000000,44779,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,50718,False
1000000000000,45488,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,54576,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50353,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48780,1000000000000,False
44363,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51962,1000000000000,False
1000000000000,1000000000000,1000000000000,51227,1000000000000,False
44995,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
48581,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,48068,1000000000000,1000000000000,1000000000000,True
48103,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56283,1000000000000,False
1000000000000,52417,1000000000000,1000000000000,1000000000000,True
1000000000000,51076,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53001,False
1000000000000,49683,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,52380,False
1000000000000,1000000000000,51007,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50558,1000000000000,False
1000000000000,1000000000000,56136,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55535,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,46468,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
49861,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53340,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53237,False
1000000000000,1000000000000,50075,1000000000000,1000000000000,False
47799,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,57393,False
1000000000000,1000000000000,1000000000000,1000000000000,57697,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49237,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,55605,1000000000000,1000000000000,False
1000000000000,48430,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,59042,False
1000000000000,1000000000000,58728,1000000000000,1000000000000,False
1000000000000,1000000000000,52099,1000000000000,1000000000000,False
53235,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
