tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
33545,1000000000000,1000000000000,1000000000000,True
39073,1000000000000,1000000000000,1000000000000,True
1000000000000,33740,1000000000000,1000000000000,False
33307,1000000000000,1000000000000,1000000000000,True
35026,1000000000000,1000000000000,1000000000000,True
1000000000000,35493,1000000000000,1000000000000,False
1000000000000,38903,1000000000000,1000000000000,False
1000000000000,35205,1000000000000,1000000000000,False
1000000000000,38011,1000000000000,1000000000000,False
1000000000000,40017,1000000000000,1000000000000,False
1000000000000,36484,1000000000000,1000000000000,False
1000000000000,34804,1000000000000,1000000000000,False
1000000000000,41574,1000000000000,1000000000000,False
1000000000000,1000000000000,36065,1000000000000,False
38515,1000000000000,1000000000000,1000000000000,True
38096,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39659,1000000000000,False
1000000000000,43724,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44218,False
1000000000000,44824,1000000000000,1000000000000,False
1000000000000,1000000000000,43612,1000000000000,False
1000000000000,1000000000000,38280,1000000000000,False
1000000000000,41949,1000000000000,1000000000000,False
1000000000000,43485,1000000000000,1000000000000,False
1000000000000,1000000000000,42145,1000000000000,False
1000000000000,1000000000000,41644,1000000000000,False
1000000000000,1000000000000,44853,1000000000000,False
1000000000000,43282,1000000000000,1000000000000,False
1000000000000,1000000000000,41199,1000000000000,False
36525,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40391,1000000000000,False
1000000000000,1000000000000,38733,1000000000000,False
1000000000000,1000000000000,39275,1000000000000,False
1000000000000,42447,1000000000000,1000000000000,False
1000000000000,1000000000000,47425,1000000000000,False
1000000000000,1000000000000,1000000000000,47932,False
1000000000000,42976,1000000000000,1000000000000,False
40299,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47236,1000000000000,False
1000000000000,1000000000000,1000000000000,60212,True
40706,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48213,False
1000000000000,1000000000000,1000000000000,48337,False
1000000000000,1000000000000,48690,1000000000000,False
39507,1000000000000,1000000000000,1000000000000,True
1000000000000,42698,1000000000000,1000000000000,False
1000000000000,44160,1000000000000,1000000000000,False
43060,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49599,False
1000000000000,1000000000000,1000000000000,50061,False
1000000000000,1000000000000,1000000000000,50161,False
1000000000000,1000000000000,1000000000000,50322,False
1000000000000,1000000000000,1000000000000,60361,True
1000000000000,1000000000000,48326,1000000000000,False
1000000000000,1000000000000,1000000000000,50001,False
44784,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49956,False
1000000000000,1000000000000,1000000000000,50415,False
1000000000000,1000000000000,1000000000000,49516,False
41305,1000000000000,1000000000000,1000000000000,True
55965,1000000000000,1000000000000,1000000000000,True
1000000000000,46398,1000000000000,1000000000000,False
46049,1000000000000,1000000000000,1000000000000,True
1000000000000,46096,1000000000000,1000000000000,False
1000000000000,1000000000000,49326,1000000000000,False
1000000000000,48722,1000000000000,1000000000000,False
1000000000000,46877,1000000000000,1000000000000,False
57678,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52349,1000000000000,False
1000000000000,1000000000000,48053,1000000000000,False
1000000000000,49438,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50739,False
49376,1000000000000,1000000000000,1000000000000,True
41667,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59757,True
