Instancia,replica,U_relativa
0,0,0.6983606557377049
0,1,0.7649006622516556
0,2,0.6855524079320113
0,3,0.6578947368421053
0,4,0.7040816326530612
0,5,0.7216828478964401
0,6,0.7430830039525692
0,7,0.6855524079320113
0,8,0.7697594501718213
0,9,0.7310126582278481
1,0,0.653968253968254
1,1,0.670926517571885
1,2,0.6308539944903582
1,3,0.6005747126436781
1,4,0.6331360946745562
1,5,0.6121212121212121
1,6,0.6142433234421365
1,7,0.6114285714285714
1,8,0.5760869565217391
1,9,0.6560509554140127
2,0,0.7492063492063492
2,1,0.75
2,2,0.7567567567567568
2,3,0.7089783281733746
2,4,0.7433155080213903
2,5,0.7625698324022346
2,6,0.8327645051194539
2,7,0.792332268370607
2,8,0.7623456790123457
2,9,0.755223880597015
3,0,0.7492063492063492
3,1,0.75
3,2,0.7297297297297297
3,3,0.7275541795665634
3,4,0.7165775401069518
3,5,0.7122905027932961
3,6,0.7986348122866894
3,7,0.7763578274760383
3,8,0.7253086419753086
3,9,0.755223880597015
