tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,33536,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,33832,1000000000000,False
1000000000000,1000000000000,42036,1000000000000,1000000000000,False
1000000000000,1000000000000,39356,1000000000000,1000000000000,False
1000000000000,1000000000000,40894,1000000000000,1000000000000,False
32964,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,35754,1000000000000,False
1000000000000,1000000000000,35128,1000000000000,1000000000000,False
1000000000000,1000000000000,35501,1000000000000,1000000000000,False
1000000000000,1000000000000,36879,1000000000000,1000000000000,False
1000000000000,1000000000000,43045,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36389,1000000000000,False
1000000000000,1000000000000,37541,1000000000000,1000000000000,False
34641,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36403,1000000000000,1000000000000,False
1000000000000,35663,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39880,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,35353,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,36532,False
1000000000000,1000000000000,1000000000000,40957,1000000000000,False
1000000000000,1000000000000,1000000000000,42003,1000000000000,False
38739,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,36705,1000000000000,1000000000000,1000000000000,True
1000000000000,37490,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,40351,1000000000000,False
40010,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46025,1000000000000,1000000000000,False
57683,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45873,1000000000000,False
37164,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,45682,False
54652,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44635,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41963,False
1000000000000,1000000000000,1000000000000,1000000000000,43335,False
36751,1000000000000,1000000000000,1000000000000,1000000000000,True
56920,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43997,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40762,False
59963,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42975,1000000000000,False
1000000000000,1000000000000,1000000000000,39710,1000000000000,False
1000000000000,1000000000000,1000000000000,39131,1000000000000,False
1000000000000,1000000000000,1000000000000,38466,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,44607,False
1000000000000,1000000000000,1000000000000,1000000000000,43995,False
1000000000000,1000000000000,1000000000000,1000000000000,48211,False
1000000000000,1000000000000,1000000000000,1000000000000,39110,False
37707,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,40448,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47600,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45679,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48717,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,39165,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,49548,1000000000000,1000000000000,False
1000000000000,1000000000000,44618,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48355,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
52065,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45299,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,48769,1000000000000,1000000000000,False
53143,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
51653,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
40789,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45652,1000000000000,1000000000000,False
1000000000000,1000000000000,45047,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49344,1000000000000,False
1000000000000,42014,1000000000000,1000000000000,1000000000000,True
44711,1000000000000,1000000000000,1000000000000,1000000000000,True
42334,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49774,1000000000000,False
1000000000000,1000000000000,47354,1000000000000,1000000000000,False
41672,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50361,1000000000000,1000000000000,False
43085,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52233,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
50059,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47883,1000000000000,1000000000000,False
50606,1000000000000,1000000000000,1000000000000,1000000000000,True
43810,1000000000000,1000000000000,1000000000000,1000000000000,True
48241,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,45713,1000000000000,1000000000000,1000000000000,True
1000000000000,45090,1000000000000,1000000000000,1000000000000,True
50974,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46769,1000000000000,1000000000000,False
56510,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,46522,1000000000000,1000000000000,1000000000000,True
51349,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51899,1000000000000,False
55072,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53773,False
1000000000000,1000000000000,1000000000000,50985,1000000000000,False
1000000000000,58569,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53782,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,55365,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
58053,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,52403,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50584,1000000000000,False
46247,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,50662,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,58998,1000000000000,1000000000000,1000000000000,True
49093,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,47154,1000000000000,1000000000000,1000000000000,True
53917,1000000000000,1000000000000,1000000000000,1000000000000,True
47057,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,55312,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,55577,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,57819,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,51097,False
1000000000000,1000000000000,57334,1000000000000,1000000000000,False
47509,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,57731,False
1000000000000,1000000000000,56799,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58800,1000000000000,False
1000000000000,1000000000000,1000000000000,56884,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,52860,1000000000000,1000000000000,False
