tiempos_c0,tiempos_c1,indicador
1000000000000,1000000000000,True
1000000000000,33977,False
1000000000000,40313,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,41545,False
43655,1000000000000,True
1000000000000,36030,False
1000000000000,37269,False
1000000000000,38463,False
34887,1000000000000,True
1000000000000,36638,False
1000000000000,42258,False
36852,1000000000000,True
39553,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
39258,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
37540,1000000000000,True
1000000000000,46462,False
43071,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
48851,1000000000000,True
1000000000000,1000000000000,False
53531,1000000000000,True
1000000000000,1000000000000,False
42449,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
51998,1000000000000,True
1000000000000,48363,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,43973,False
49459,1000000000000,True
1000000000000,1000000000000,False
40490,1000000000000,True
1000000000000,1000000000000,False
44773,1000000000000,True
50849,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,47701,False
54126,1000000000000,True
1000000000000,1000000000000,False
53195,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,45704,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,46106,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
51699,1000000000000,True
1000000000000,1000000000000,False
1000000000000,46801,False
1000000000000,48848,False
45830,1000000000000,True
1000000000000,1000000000000,False
50439,1000000000000,True
1000000000000,51345,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,45076,False
1000000000000,44485,False
1000000000000,1000000000000,False
48283,1000000000000,True
1000000000000,1000000000000,False
1000000000000,54414,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
56919,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,53446,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
46617,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
51243,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,53811,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,54789,False
1000000000000,1000000000000,True
1000000000000,52281,False
1000000000000,1000000000000,True
1000000000000,52803,False
1000000000000,1000000000000,False
1000000000000,55381,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
47479,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,51694,False
47986,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
57438,1000000000000,True
1000000000000,1000000000000,True
54498,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,50645,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
52298,1000000000000,True
55960,1000000000000,True
1000000000000,1000000000000,False
1000000000000,58534,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
56604,1000000000000,True
1000000000000,1000000000000,False
58954,1000000000000,True
1000000000000,1000000000000,False
50025,1000000000000,True
1000000000000,1000000000000,False
1000000000000,59378,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
55666,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,57730,False
1000000000000,1000000000000,False
55433,1000000000000,True
52830,1000000000000,True
57939,1000000000000,True
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,False
1000000000000,1000000000000,True
1000000000000,1000000000000,True
