run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-23T16:14:52,2026-06-23T16:56:49,2516.8067610000144,41.94677935000024,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",137,55,192,229.0,316.0,0.7246835443037974,486.9440009422017,14,0.7135416666666666
2,ok,2026-06-23T16:56:49,2026-06-23T18:00:02,3792.8503219000413,63.21417203166735,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",125,58,183,214.0,314.0,0.6815286624203821,485.37268313960465,18,0.6830601092896175
3,ok,2026-06-23T18:00:02,2026-06-23T18:54:39,3276.885870099999,54.61476450166665,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",147,57,204,245.0,335.0,0.7313432835820896,390.47554518660013,16,0.7205882352941176
4,ok,2026-06-23T18:54:39,2026-06-23T19:43:19,2919.928625200002,48.6654770866667,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",144,60,204,238.0,335.0,0.7104477611940299,403.400488551968,15,0.7058823529411765
