time,request_id,decision,phi,vehicle_id,position
32529.226408584404,R37_C17,inserted,1.0,1.0,3.0
33934.27297361199,R37_C25,inserted,1.0,1.0,13.0
34155.36529400567,R37_C27,inserted,1.0,1.0,12.0
34742.48758217982,R37_C34,inserted,1.0,1.0,9.0
34807.80180897367,R37_C35,inserted,1.0,1.0,14.0
35158.88606722568,R37_C36,inserted,1.0,1.0,14.0
35393.39232065494,R37_C40,inserted,1.0,2.0,5.0
35593.138501775815,R37_C42,inserted,1.0,0.0,11.0
35695.40033230053,R37_C43,inserted,1.0,2.0,0.0
36580.50787694455,R37_C48,inserted,1.0,2.0,0.0
36981.577928735256,R37_C53,inserted,1.0,2.0,4.0
37131.71382905121,R37_C55,inserted,1.0,1.0,14.0
37467.00166315185,R37_C57,inserted,1.0,2.0,1.0
37719.96846676851,R37_C58,inserted,1.0,0.0,10.0
37960.8782143377,R37_C60,inserted,1.0,0.0,10.0
38113.41474928987,R37_C63,inserted,1.0,1.0,10.0
38677.48570593322,R37_C70,inserted,1.0,1.0,8.0
39231.42001843968,R37_C76,inserted,1.0,1.0,7.0
39343.817618620575,R37_C77,inserted,1.0,0.0,9.0
39522.54720783899,R37_C80,inserted,1.0,1.0,11.0
39682.69986518536,R37_C81,inserted,1.0,0.0,8.0
39739.27809519621,R37_C82,inserted,1.0,1.0,8.0
40458.657701350865,R37_C87,inserted,1.0,0.0,3.0
41624.751021846896,R37_C94,inserted,1.0,0.0,9.0
41814.28615279548,R37_C95,inserted,1.0,0.0,7.0
41819.80756541548,R37_C96,inserted,1.0,1.0,8.0
42061.473770866505,R37_C100,inserted,1.0,0.0,7.0
42599.46141326152,R37_C104,inserted,1.0,1.0,14.0
42691.820490523365,R37_C106,inserted,1.0,2.0,4.0
42717.843604117756,R37_C108,inserted,1.0,2.0,4.0
43090.960325824984,R37_C110,inserted,1.0,0.0,6.0
43107.82402060936,R37_C111,inserted,1.0,1.0,11.0
43557.59544604425,R37_C116,inserted,1.0,1.0,10.0
43990.586588268925,R37_C119,inserted,1.0,2.0,0.0
44108.20831100652,R37_C121,inserted,1.0,1.0,14.0
44556.63269421658,R37_C124,inserted,1.0,2.0,3.0
44793.575911442385,R37_C129,inserted,1.0,2.0,2.0
44878.002777415895,R37_C130,inserted,1.0,0.0,9.0
45318.576759198804,R37_C133,inserted,1.0,0.0,4.0
45437.86984254594,R37_C134,inserted,1.0,2.0,4.0
45743.904511841276,R37_C137,inserted,1.0,0.0,3.0
45841.235606398266,R37_C138,inserted,1.0,0.0,0.0
46327.70660245842,R37_C149,inserted,1.0,0.0,0.0
46402.472695674114,R37_C151,inserted,1.0,1.0,11.0
46446.23487152489,R37_C152,inserted,1.0,1.0,4.0
46521.71437281098,R37_C154,inserted,1.0,1.0,13.0
46914.90195825467,R37_C155,inserted,1.0,1.0,11.0
47128.57804149848,R37_C158,inserted,1.0,0.0,0.0
47141.705864243704,R37_C159,inserted,1.0,0.0,0.0
47900.37207343959,R37_C165,inserted,1.0,0.0,2.0
49065.27639209236,R37_C178,inserted,1.0,2.0,0.0
49600.537170557174,R37_C181,inserted,1.0,2.0,0.0
49715.35376802106,R37_C182,inserted,1.0,1.0,8.0
49858.73560128333,R37_C184,inserted,1.0,1.0,5.0
50096.9922069943,R37_C186,inserted,1.0,2.0,0.0
50211.96678105194,R37_C187,inserted,1.0,2.0,2.0
50433.77157857189,R37_C188,inserted,1.0,1.0,5.0
50528.78836693688,R37_C191,inserted,1.0,1.0,1.0
51052.37341676627,R37_C194,inserted,1.0,1.0,8.0
52259.60998811359,R37_C197,inserted,1.0,2.0,3.0
52618.79934462467,R37_C199,inserted,1.0,2.0,2.0
52804.21179843007,R37_C200,inserted,1.0,0.0,7.0
52937.72245204499,R37_C201,inserted,1.0,1.0,7.0
52948.131120001206,R37_C202,inserted,1.0,1.0,8.0
53131.10368790349,R37_C205,inserted,1.0,2.0,3.0
53683.189076290735,R37_C209,inserted,1.0,2.0,2.0
53761.62079573887,R37_C210,inserted,1.0,2.0,0.0
53895.315508572705,R37_C211,inserted,1.0,0.0,0.0
54003.64521698172,R37_C212,inserted,1.0,0.0,3.0
54138.22464028588,R37_C213,postponed,0.0,,
54210.34956574108,R37_C214,postponed,0.0,,
54345.0688252384,R37_C217,postponed,0.0,,
54361.38542244498,R37_C218,postponed,0.0,,
