vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km,stops,source
0,0,"['R0_C2', 'R0_C9', 'R0_C18', 'R0_C1', 'R0_C3', 'R0_C29', 'R0_C0', 'R0_C63', 'R0_C71', 'R0_C72', 'R0_C6', 'R0_C80', 'R0_C88', 'R0_C64', 'R0_C90', 'R0_C27', 'R0_C85', 'R0_C127', 'R0_C114', 'R0_C69', 'R0_C110', 'R0_C95', 'R0_C133', 'R0_C89', 'R0_C113', 'R0_C106']",32828.317973361554,61072.317973361554,29.0,163.53681323312506,"[{'request_id': 'R0_C2', 'x': 18332.541196017064, 'y': 10733.041274235846, 'indicador': 'False', 'ready_time': 32778.918188327254, 'deadline': 43578.918188327254, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 34134.317973361554, 'service_start': 34134.317973361554, 'service_end': 34314.317973361554}, {'request_id': 'R0_C9', 'x': 16621.98537587821, 'y': 11600.5572501504, 'indicador': 'True', 'ready_time': 33061.25656140615, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 34686.317973361554, 'service_start': 34686.317973361554, 'service_end': 34866.317973361554}, {'request_id': 'R0_C18', 'x': 500.4640882430154, 'y': 9466.2622803089, 'indicador': 'True', 'ready_time': 34188.61861014207, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 37495.317973361554, 'service_start': 37495.317973361554, 'service_end': 37675.317973361554}, {'request_id': 'R0_C1', 'x': 2970.1815734976562, 'y': 15533.95112053169, 'indicador': 'True', 'ready_time': 32400.0, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 38905.317973361554, 'service_start': 38905.317973361554, 'service_end': 39085.317973361554}, {'request_id': 'R0_C3', 'x': 2082.174263917593, 'y': 17164.989404639262, 'indicador': 'False', 'ready_time': 32828.317973361554, 'deadline': 43628.317973361554, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 39448.317973361554, 'service_start': 39448.317973361554, 'service_end': 39628.317973361554}, {'request_id': 'R0_C29', 'x': 3593.0833682790535, 'y': 19118.60829336515, 'indicador': 'True', 'ready_time': 35554.34692331878, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 40127.317973361554, 'service_start': 40127.317973361554, 'service_end': 40307.317973361554}, {'request_id': 'R0_C0', 'x': 4292.065399432632, 'y': 19451.489216060338, 'indicador': 'False', 'ready_time': 32469.51000306326, 'deadline': 43269.51000306326, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 40456.317973361554, 'service_start': 40456.317973361554, 'service_end': 40636.317973361554}, {'request_id': 'R0_C63', 'x': 3188.8865322530432, 'y': 17638.09837791322, 'indicador': 'True', 'ready_time': 40162.09277808031, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 41056.317973361554, 'service_start': 41056.317973361554, 'service_end': 41236.317973361554}, {'request_id': 'R0_C71', 'x': 2255.9451659209585, 'y': 14984.087217989483, 'indicador': 'True', 'ready_time': 41169.33608066343, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 41753.317973361554, 'service_start': 41753.317973361554, 'service_end': 41933.317973361554}, {'request_id': 'R0_C72', 'x': 3891.250603580846, 'y': 19778.747163241613, 'indicador': 'True', 'ready_time': 41613.86016560142, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 42859.317973361554, 'service_start': 42859.317973361554, 'service_end': 43039.317973361554}, {'request_id': 'R0_C6', 'x': 7250.543523271377, 'y': 15885.599621330502, 'indicador': 'True', 'ready_time': 32808.82093226871, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 44084.317973361554, 'service_start': 44084.317973361554, 'service_end': 44264.317973361554}, {'request_id': 'R0_C80', 'x': 18247.677371908616, 'y': 18983.43208408128, 'indicador': 'True', 'ready_time': 42888.74210098228, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 46294.317973361554, 'service_start': 46294.317973361554, 'service_end': 46474.317973361554}, {'request_id': 'R0_C88', 'x': 18899.603343418818, 'y': 11131.6162337366, 'indicador': 'True', 'ready_time': 44139.6616092263, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 47699.317973361554, 'service_start': 47699.317973361554, 'service_end': 47879.317973361554}, {'request_id': 'R0_C64', 'x': 14551.119737581721, 'y': 15498.434594938228, 'indicador': 'True', 'ready_time': 40259.887995001154, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 49135.317973361554, 'service_start': 49135.317973361554, 'service_end': 49315.317973361554}, {'request_id': 'R0_C90', 'x': 3967.475602657143, 'y': 16324.673917012044, 'indicador': 'True', 'ready_time': 44276.31364544794, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 50959.317973361554, 'service_start': 50959.317973361554, 'service_end': 51139.317973361554}, {'request_id': 'R0_C27', 'x': 7376.4861186155595, 'y': 12726.458446459344, 'indicador': 'True', 'ready_time': 35219.88324842414, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 52149.317973361554, 'service_start': 52149.317973361554, 'service_end': 52329.317973361554}, {'request_id': 'R0_C85', 'x': 4876.477656382261, 'y': 10503.881367683454, 'indicador': 'True', 'ready_time': 43783.44025199172, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 53010.317973361554, 'service_start': 53010.317973361554, 'service_end': 53190.317973361554}, {'request_id': 'R0_C127', 'x': 3911.587178419763, 'y': 9489.576339539022, 'indicador': 'True', 'ready_time': 48976.28035445288, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 53476.317973361554, 'service_start': 53476.317973361554, 'service_end': 53656.317973361554}, {'request_id': 'R0_C114', 'x': 5331.544902310476, 'y': 7986.740436891751, 'indicador': 'True', 'ready_time': 46712.781710426825, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 54077.317973361554, 'service_start': 54077.317973361554, 'service_end': 54257.317973361554}, {'request_id': 'R0_C69', 'x': 249.20311370092278, 'y': 7670.103570327418, 'indicador': 'True', 'ready_time': 40821.027633695994, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 55035.317973361554, 'service_start': 55035.317973361554, 'service_end': 55215.317973361554}, {'request_id': 'R0_C110', 'x': 1975.4017922152143, 'y': 3427.242675886441, 'indicador': 'True', 'ready_time': 46429.998221481284, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 56075.317973361554, 'service_start': 56075.317973361554, 'service_end': 56255.317973361554}, {'request_id': 'R0_C95', 'x': 7974.7459796840285, 'y': 3356.523718223915, 'indicador': 'True', 'ready_time': 45029.09434629034, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 57130.317973361554, 'service_start': 57130.317973361554, 'service_end': 57310.317973361554}, {'request_id': 'R0_C133', 'x': 8157.352423634899, 'y': 2203.679601954107, 'indicador': 'True', 'ready_time': 49535.830727317625, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 57503.317973361554, 'service_start': 57503.317973361554, 'service_end': 57683.317973361554}, {'request_id': 'R0_C89', 'x': 10082.504897669423, 'y': 331.51587492286365, 'indicador': 'True', 'ready_time': 44228.82167402629, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 58230.317973361554, 'service_start': 58230.317973361554, 'service_end': 58410.317973361554}, {'request_id': 'R0_C113', 'x': 10795.804319504472, 'y': 2260.4939782527413, 'indicador': 'True', 'ready_time': 46646.50023680518, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 58791.317973361554, 'service_start': 58791.317973361554, 'service_end': 58971.317973361554}, {'request_id': 'R0_C106', 'x': 13193.015093872376, 'y': 4602.05377031144, 'indicador': 'True', 'ready_time': 46033.79126854799, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 59654.317973361554, 'service_start': 59654.317973361554, 'service_end': 59834.317973361554}]",dynamic_icd
1,0,"['R0_C7', 'R0_C4', 'R0_C17', 'R0_C20', 'R0_C11']",33428.6264593136,39359.6264593136,6.0,34.9257691723183,"[{'request_id': 'R0_C7', 'x': 17926.50132037097, 'y': 14448.36402178798, 'indicador': 'True', 'ready_time': 32816.936841511866, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 35210.6264593136, 'service_start': 35210.6264593136, 'service_end': 35390.6264593136}, {'request_id': 'R0_C4', 'x': 18349.11421663781, 'y': 19113.77036952134, 'indicador': 'False', 'ready_time': 33428.6264593136, 'deadline': 44228.6264593136, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 36123.6264593136, 'service_start': 36123.6264593136, 'service_end': 36303.6264593136}, {'request_id': 'R0_C17', 'x': 17365.240447782857, 'y': 17615.55523184287, 'indicador': 'True', 'ready_time': 33893.65007016325, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 36661.6264593136, 'service_start': 36661.6264593136, 'service_end': 36841.6264593136}, {'request_id': 'R0_C20', 'x': 16767.470951636522, 'y': 15887.229792690472, 'indicador': 'True', 'ready_time': 34387.77307677165, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 37176.6264593136, 'service_start': 37176.6264593136, 'service_end': 37356.6264593136}, {'request_id': 'R0_C11', 'x': 12324.690278779774, 'y': 12937.040879454555, 'indicador': 'True', 'ready_time': 33309.25132948527, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 38421.6264593136, 'service_start': 38421.6264593136, 'service_end': 38601.6264593136}]",dynamic_icd
2,0,"['R0_C12', 'R0_C16', 'R0_C21', 'R0_C33', 'R0_C31', 'R0_C42', 'R0_C57', 'R0_C62', 'R0_C68', 'R0_C5']",33648.59273569579,44607.59273569579,11.0,63.56971102230249,"[{'request_id': 'R0_C12', 'x': 10237.451732148727, 'y': 2530.74171083272, 'indicador': 'True', 'ready_time': 33319.13034968237, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 34758.59273569579, 'service_start': 34758.59273569579, 'service_end': 34938.59273569579}, {'request_id': 'R0_C16', 'x': 6773.432938962244, 'y': 5341.2744454225085, 'indicador': 'True', 'ready_time': 33854.947406796855, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 35842.59273569579, 'service_start': 35842.59273569579, 'service_end': 36022.59273569579}, {'request_id': 'R0_C21', 'x': 5650.381569302631, 'y': 5841.944057293987, 'indicador': 'True', 'ready_time': 34497.40903977095, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 36256.59273569579, 'service_start': 36256.59273569579, 'service_end': 36436.59273569579}, {'request_id': 'R0_C33', 'x': 6285.667649170077, 'y': 4655.6530544358475, 'indicador': 'True', 'ready_time': 36381.56503124694, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 36699.59273569579, 'service_start': 36699.59273569579, 'service_end': 36879.59273569579}, {'request_id': 'R0_C31', 'x': 17683.645005879014, 'y': 4325.6478070306475, 'indicador': 'True', 'ready_time': 35709.82814120007, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 38568.59273569579, 'service_start': 38568.59273569579, 'service_end': 38748.59273569579}, {'request_id': 'R0_C42', 'x': 16131.275403388383, 'y': 9728.304682628972, 'indicador': 'True', 'ready_time': 37871.91344809673, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 39750.59273569579, 'service_start': 39750.59273569579, 'service_end': 39930.59273569579}, {'request_id': 'R0_C57', 'x': 16124.334307602569, 'y': 3934.688702769563, 'indicador': 'True', 'ready_time': 39764.26408256109, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 40766.59273569579, 'service_start': 40766.59273569579, 'service_end': 40946.59273569579}, {'request_id': 'R0_C62', 'x': 15867.434888676533, 'y': 4857.0142355011885, 'indicador': 'True', 'ready_time': 40133.85822367155, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 41116.59273569579, 'service_start': 41116.59273569579, 'service_end': 41296.59273569579}, {'request_id': 'R0_C68', 'x': 18672.20027746898, 'y': 9915.713101752495, 'indicador': 'True', 'ready_time': 40697.29746114036, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 42429.59273569579, 'service_start': 42429.59273569579, 'service_end': 42609.59273569579}, {'request_id': 'R0_C5', 'x': 12051.76306967829, 'y': 7985.508667408836, 'indicador': 'False', 'ready_time': 33648.59273569579, 'deadline': 44448.59273569579, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 43841.59273569579, 'service_start': 43841.59273569579, 'service_end': 44021.59273569579}]",dynamic_icd
1,0,"['R0_C10', 'R0_C8', 'R0_C14', 'R0_C37', 'R0_C75', 'R0_C32']",39359.6264593136,47925.6264593136,11.0,51.96090303186977,"[{'request_id': 'R0_C10', 'x': 14936.653757276143, 'y': 17732.69764134128, 'indicador': 'False', 'ready_time': 39359.6264593136, 'deadline': 44859.00474827177, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 41184.6264593136, 'service_start': 41184.6264593136, 'service_end': 41364.6264593136}, {'request_id': 'R0_C8', 'x': 2319.4836141842898, 'y': 17614.526014104224, 'indicador': 'False', 'ready_time': 39359.6264593136, 'deadline': 44557.66983636932, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 43198.6264593136, 'service_start': 43198.6264593136, 'service_end': 43378.6264593136}, {'request_id': 'R0_C14', 'x': 4268.343870867055, 'y': 6060.092920548403, 'indicador': 'False', 'ready_time': 39359.6264593136, 'deadline': 45381.165597533436, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 45323.6264593136, 'service_start': 45323.6264593136, 'service_end': 45503.6264593136}, {'request_id': 'R0_C37', 'x': 3016.427455671923, 'y': 6316.472552571501, 'indicador': 'False', 'ready_time': 39359.6264593136, 'deadline': 48519.103076078616, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 45721.6264593136, 'service_start': 45721.6264593136, 'service_end': 45901.6264593136}, {'request_id': 'R0_C75', 'x': 5260.828205801043, 'y': 7474.351523313914, 'indicador': 'True', 'ready_time': 41777.18234162274, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 46391.6264593136, 'service_start': 46391.6264593136, 'service_end': 46571.6264593136}, {'request_id': 'R0_C32', 'x': 7817.5386692915345, 'y': 10438.760236855025, 'indicador': 'False', 'ready_time': 39359.6264593136, 'deadline': 47977.96108917688, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 47367.6264593136, 'service_start': 47367.6264593136, 'service_end': 47547.6264593136}]",dynamic_icd
2,0,"['R0_C23', 'R0_C34', 'R0_C38', 'R0_C40', 'R0_C49', 'R0_C48', 'R0_C70', 'R0_C73', 'R0_C76', 'R0_C161', 'R0_C185', 'R0_C86', 'R0_C175', 'R0_C164', 'R0_C171', 'R0_C178']",44687.23821868492,60724.23821868492,26.0,91.29855390308795,"[{'request_id': 'R0_C23', 'x': 2964.2074172536504, 'y': 12394.378881369792, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 46449.63024453707, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 46045.23821868492, 'service_start': 46045.23821868492, 'service_end': 46225.23821868492}, {'request_id': 'R0_C34', 'x': 9226.154971034468, 'y': 15372.630040136859, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 48135.944556628754, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 47556.23821868492, 'service_start': 47556.23821868492, 'service_end': 47736.23821868492}, {'request_id': 'R0_C38', 'x': 9106.424374746752, 'y': 19836.40265532103, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 48561.4524176723, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 48397.23821868492, 'service_start': 48397.23821868492, 'service_end': 48577.23821868492}, {'request_id': 'R0_C40', 'x': 7862.693742059914, 'y': 19871.499863161916, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 49006.82533091807, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 48762.23821868492, 'service_start': 48762.23821868492, 'service_end': 48942.23821868492}, {'request_id': 'R0_C49', 'x': 8441.753482056814, 'y': 9611.0558444903, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 50986.6045231691, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 50503.23821868492, 'service_start': 50503.23821868492, 'service_end': 50683.23821868492}, {'request_id': 'R0_C48', 'x': 8705.544990424702, 'y': 9128.921429353071, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 50865.499860961, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 50791.23821868492, 'service_start': 50791.23821868492, 'service_end': 50971.23821868492}, {'request_id': 'R0_C70', 'x': 12304.33528256566, 'y': 11933.09931827651, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 52590.752490591105, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 51894.23821868492, 'service_start': 51894.23821868492, 'service_end': 52074.23821868492}, {'request_id': 'R0_C73', 'x': 13963.747167800748, 'y': 15277.772763748571, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 53333.34248029028, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 52795.23821868492, 'service_start': 52795.23821868492, 'service_end': 52975.23821868492}, {'request_id': 'R0_C76', 'x': 15213.870345580946, 'y': 15642.930350889166, 'indicador': 'False', 'ready_time': 44607.59273569579, 'deadline': 53504.54678719275, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 53208.23821868492, 'service_start': 53208.23821868492, 'service_end': 53388.23821868492}, {'request_id': 'R0_C161', 'x': 10895.543502035513, 'y': 17263.597991557795, 'indicador': 'True', 'ready_time': 52196.71795355132, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 54244.23821868492, 'service_start': 54244.23821868492, 'service_end': 54424.23821868492}, {'request_id': 'R0_C185', 'x': 10756.12776332802, 'y': 17355.886752999642, 'indicador': 'True', 'ready_time': 54332.83840584993, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 54458.23821868492, 'service_start': 54458.23821868492, 'service_end': 54638.23821868492}, {'request_id': 'R0_C86', 'x': 11587.457262578624, 'y': 13896.636993724402, 'indicador': 'False', 'ready_time': 44687.23821868492, 'deadline': 55487.23821868492, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 55256.23821868492, 'service_start': 55256.23821868492, 'service_end': 55436.23821868492}, {'request_id': 'R0_C175', 'x': 13414.100853597829, 'y': 15088.949121017025, 'indicador': 'True', 'ready_time': 53689.73471014552, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 55871.23821868492, 'service_start': 55871.23821868492, 'service_end': 56051.23821868492}, {'request_id': 'R0_C164', 'x': 18137.589162118515, 'y': 10006.6482629746, 'indicador': 'True', 'ready_time': 52862.773535732034, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 57464.23821868492, 'service_start': 57464.23821868492, 'service_end': 57644.23821868492}, {'request_id': 'R0_C171', 'x': 18235.25258514811, 'y': 4733.749341679079, 'indicador': 'True', 'ready_time': 53356.76624398744, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 58418.23821868492, 'service_start': 58418.23821868492, 'service_end': 58598.23821868492}, {'request_id': 'R0_C178', 'x': 17192.467532823313, 'y': 7747.611423845733, 'indicador': 'True', 'ready_time': 53928.53049035524, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 59183.23821868492, 'service_start': 59183.23821868492, 'service_end': 59363.23821868492}]",dynamic_icd
1,0,"['R0_C60', 'R0_C91', 'R0_C51', 'R0_C45', 'R0_C59', 'R0_C83', 'R0_C81', 'R0_C93', 'R0_C101', 'R0_C99', 'R0_C87', 'R0_C100', 'R0_C96', 'R0_C115', 'R0_C119', 'R0_C186', 'R0_C140']",47925.6264593136,61033.6264593136,32.0,69.7213030281661,"[{'request_id': 'R0_C60', 'x': 6258.42708935811, 'y': 7134.254885738301, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 51758.92816608416, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 48877.6264593136, 'service_start': 48877.6264593136, 'service_end': 49057.6264593136}, {'request_id': 'R0_C91', 'x': 5958.4128203846685, 'y': 7855.180829458129, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 56240.36428482022, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 49205.6264593136, 'service_start': 49205.6264593136, 'service_end': 49385.6264593136}, {'request_id': 'R0_C51', 'x': 4408.789189406561, 'y': 8817.212510893552, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 51020.83560313681, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 49747.6264593136, 'service_start': 49747.6264593136, 'service_end': 49927.6264593136}, {'request_id': 'R0_C45', 'x': 1772.1704326623437, 'y': 8177.103380103456, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 50446.15999060984, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 50399.6264593136, 'service_start': 50399.6264593136, 'service_end': 50579.6264593136}, {'request_id': 'R0_C59', 'x': 2290.1866591395856, 'y': 3210.840918347363, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 51575.2680929067, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 51369.6264593136, 'service_start': 51369.6264593136, 'service_end': 51549.6264593136}, {'request_id': 'R0_C83', 'x': 1504.0021285555347, 'y': 2676.5744671102925, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 54998.238355357724, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 51740.6264593136, 'service_start': 51740.6264593136, 'service_end': 51920.6264593136}, {'request_id': 'R0_C81', 'x': 5155.419878182834, 'y': 1295.7201253888475, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 54620.57089737386, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 52645.6264593136, 'service_start': 52645.6264593136, 'service_end': 52825.6264593136}, {'request_id': 'R0_C93', 'x': 5315.566395577981, 'y': 2742.537271197078, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 56462.89476252757, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 53057.6264593136, 'service_start': 53057.6264593136, 'service_end': 53237.6264593136}, {'request_id': 'R0_C101', 'x': 6150.8958187401295, 'y': 8570.968728837179, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 57109.96485538138, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 54197.6264593136, 'service_start': 54197.6264593136, 'service_end': 54377.6264593136}, {'request_id': 'R0_C99', 'x': 6199.45901515562, 'y': 9841.41118255833, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 56946.62903060892, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 54567.6264593136, 'service_start': 54567.6264593136, 'service_end': 54747.6264593136}, {'request_id': 'R0_C87', 'x': 8610.922765732983, 'y': 12267.757581609689, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 55592.93841141966, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 55444.6264593136, 'service_start': 55444.6264593136, 'service_end': 55624.6264593136}, {'request_id': 'R0_C100', 'x': 7920.973198318771, 'y': 13111.063201918958, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 57026.14587313451, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 55845.6264593136, 'service_start': 55845.6264593136, 'service_end': 56025.6264593136}, {'request_id': 'R0_C96', 'x': 9203.518506945962, 'y': 14275.013391405282, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 56778.99177033838, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 56378.6264593136, 'service_start': 56378.6264593136, 'service_end': 56558.6264593136}, {'request_id': 'R0_C115', 'x': 3418.6834371442023, 'y': 14833.300755470875, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 58440.775131175564, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 57472.6264593136, 'service_start': 57472.6264593136, 'service_end': 57652.6264593136}, {'request_id': 'R0_C119', 'x': 4721.452483964713, 'y': 11025.590648393036, 'indicador': 'False', 'ready_time': 47925.6264593136, 'deadline': 58703.48915663716, 'service_time': 180.0, 'profit': 2.0, 'is_delivery': True, 'arrival_time': 58388.6264593136, 'service_start': 58388.6264593136, 'service_end': 58568.6264593136}, {'request_id': 'R0_C186', 'x': 6737.244679891117, 'y': 9681.567792182417, 'indicador': 'True', 'ready_time': 54554.16464576369, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 59052.6264593136, 'service_start': 59052.6264593136, 'service_end': 59232.6264593136}, {'request_id': 'R0_C140', 'x': 8092.295894275606, 'y': 5848.685476291902, 'indicador': 'True', 'ready_time': 50084.02416710255, 'deadline': 61200.0, 'service_time': 180.0, 'profit': 1.0, 'is_delivery': False, 'arrival_time': 59980.6264593136, 'service_start': 59980.6264593136, 'service_end': 60160.6264593136}]",dynamic_icd
