tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
36683,1000000000000,1000000000000,1000000000000,True
34468,1000000000000,1000000000000,1000000000000,True
1000000000000,33686,1000000000000,1000000000000,False
33765,1000000000000,1000000000000,1000000000000,True
1000000000000,35479,1000000000000,1000000000000,False
40454,1000000000000,1000000000000,1000000000000,True
1000000000000,37295,1000000000000,1000000000000,False
35025,1000000000000,1000000000000,1000000000000,True
39072,1000000000000,1000000000000,1000000000000,True
40778,1000000000000,1000000000000,1000000000000,True
35611,1000000000000,1000000000000,1000000000000,True
1000000000000,38725,1000000000000,1000000000000,False
42208,1000000000000,1000000000000,1000000000000,True
1000000000000,44371,1000000000000,1000000000000,False
1000000000000,43412,1000000000000,1000000000000,False
1000000000000,41523,1000000000000,1000000000000,False
1000000000000,1000000000000,39073,1000000000000,False
1000000000000,40521,1000000000000,1000000000000,False
1000000000000,46609,1000000000000,1000000000000,False
1000000000000,47792,1000000000000,1000000000000,False
1000000000000,39732,1000000000000,1000000000000,False
39885,1000000000000,1000000000000,1000000000000,True
38225,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47478,False
1000000000000,1000000000000,41407,1000000000000,False
50388,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48196,False
1000000000000,1000000000000,46843,1000000000000,False
1000000000000,1000000000000,46056,1000000000000,False
1000000000000,1000000000000,47383,1000000000000,False
1000000000000,1000000000000,1000000000000,49173,False
1000000000000,1000000000000,43778,1000000000000,False
1000000000000,1000000000000,48309,1000000000000,False
1000000000000,1000000000000,1000000000000,49285,False
1000000000000,1000000000000,1000000000000,49227,False
1000000000000,1000000000000,1000000000000,48613,False
1000000000000,50025,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50130,False
1000000000000,1000000000000,45383,1000000000000,False
1000000000000,1000000000000,1000000000000,49974,False
1000000000000,1000000000000,42383,1000000000000,False
41353,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42867,1000000000000,False
1000000000000,1000000000000,41945,1000000000000,False
1000000000000,1000000000000,1000000000000,60322,True
1000000000000,1000000000000,1000000000000,49881,False
1000000000000,1000000000000,1000000000000,49871,False
1000000000000,1000000000000,1000000000000,50584,False
1000000000000,1000000000000,1000000000000,50123,False
1000000000000,1000000000000,1000000000000,49894,False
1000000000000,50215,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50370,False
1000000000000,1000000000000,1000000000000,50916,False
1000000000000,1000000000000,1000000000000,50964,False
42712,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50737,False
1000000000000,1000000000000,50503,1000000000000,False
54260,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51527,False
1000000000000,1000000000000,1000000000000,51299,False
1000000000000,1000000000000,1000000000000,51011,False
1000000000000,1000000000000,1000000000000,51833,False
1000000000000,49412,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59117,True
1000000000000,1000000000000,1000000000000,51999,False
44311,1000000000000,1000000000000,1000000000000,True
1000000000000,51652,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52269,False
1000000000000,1000000000000,53457,1000000000000,False
1000000000000,1000000000000,1000000000000,52237,False
1000000000000,50946,1000000000000,1000000000000,False
