camion_id,timestamps,camion_pos
1,55394.0,"(14267.5654296875, 3762.14404296875)"
1,55747.0,"(14944.6025390625, 4281.70654296875)"
1,56195.0,"(15698.478515625, 3181.005615234375)"
1,56543.0,"(16267.796875, 3772.612548828125)"
1,57047.0,"(17540.5546875, 4746.0927734375)"
1,57259.0,"(17757.232421875, 4746.775390625)"
1,57531.0,"(17714.482421875, 5340.8203125)"
1,57798.0,"(18089.025390625, 5117.189453125)"
1,58179.0,"(18097.287109375, 6503.09521484375)"
1,58612.0,"(17459.103515625, 7615.84033203125)"
1,58875.0,"(17218.744140625, 7280.69873046875)"
1,59194.0,"(16443.21875, 7091.85302734375)"
1,59797.0,"(14698.8603515625, 8284.9296875)"
1,60403.0,"(12162.6044921875, 8702.845703125)"
1,61082.0,"(10000.0, 10000.0)"
2,32495.0,"(10000.0, 10000.0)"
2,34005.0,"(4714.951171875, 4801.8740234375)"
2,35174.0,"(4533.06298828125, 8742.5849609375)"
2,36165.0,"(9867.8837890625, 9038.341796875)"
2,36503.0,"(10000.0, 10000.0)"
2,36503.0,"(10000.0, 10000.0)"
2,37467.0,"(16150.8935546875, 9460.6005859375)"
2,38130.0,"(16773.78125, 6731.4326171875)"
2,38642.0,"(19003.787109375, 6660.51123046875)"
2,39114.0,"(17564.16796875, 7246.23583984375)"
2,39370.0,"(17456.154296875, 7662.48095703125)"
2,39957.0,"(17799.2578125, 10143.2939453125)"
2,40832.0,"(17223.2578125, 14388.6572265625)"
2,41843.0,"(11847.0361328125, 14779.4677734375)"
2,43264.0,"(5094.0634765625, 12916.1884765625)"
2,43882.0,"(4858.333984375, 10112.517578125)"
2,44156.0,"(5319.84765625, 9925.6953125)"
2,44751.0,"(7809.92724609375, 10315.78125)"
2,45292.0,"(10000.0, 10000.0)"
2,45292.0,"(10000.0, 10000.0)"
2,45570.0,"(9326.880859375, 8744.4912109375)"
2,46040.0,"(7445.84716796875, 8617.123046875)"
2,46758.0,"(4453.91162109375, 7877.04443359375)"
2,47472.0,"(3392.359619140625, 5236.2841796875)"
2,47820.0,"(2983.3974609375, 4483.599609375)"
2,48495.0,"(1608.976806640625, 6545.4775390625)"
2,48701.0,"(1703.4581298828125, 6627.390625)"
2,49320.0,"(2768.43994140625, 8609.623046875)"
2,49809.0,"(4670.74365234375, 8849.2490234375)"
2,50276.0,"(6031.15283203125, 9477.4658203125)"
2,51103.0,"(10000.0, 10000.0)"
2,51103.0,"(10000.0, 10000.0)"
2,51454.0,"(10889.0966796875, 8453.669921875)"
2,52720.0,"(18369.193359375, 8395.703125)"
2,53243.0,"(19524.552734375, 9615.87890625)"
2,53647.0,"(19508.892578125, 11153.193359375)"
2,53906.0,"(19000.9609375, 11117.0693359375)"
2,54243.0,"(18509.427734375, 11712.62109375)"
2,54850.0,"(18879.7734375, 14307.4482421875)"
2,55158.0,"(18252.638671875, 14569.0791015625)"
2,55625.0,"(17304.31640625, 13524.892578125)"
2,56015.0,"(16722.314453125, 12653.5703125)"
2,56374.0,"(15644.4658203125, 12493.015625)"
2,57087.0,"(15354.1962890625, 15899.4716796875)"
2,57364.0,"(15334.751953125, 15251.708984375)"
2,58100.0,"(12040.38671875, 14691.3056640625)"
2,58485.0,"(11209.4072265625, 14104.2001953125)"
2,59147.0,"(10405.8896484375, 11561.9462890625)"
2,59611.0,"(10000.0, 10000.0)"
2,59611.0,"(10000.0, 10000.0)"
2,60311.0,"(14556.7666015625, 10299.7900390625)"
2,61191.0,"(10000.0, 10000.0)"
