Instancia,replica,U_relativa,D_camiones
0,0,0.5016393442622951,446956.5
0,1,0.543046357615894,419766.88
0,2,0.49008498583569404,406878.7
0,3,0.45614035087719296,440974.53
0,4,0.45918367346938777,425608.78
0,5,0.4854368932038835,446503.56
0,6,0.525691699604743,451184.44
0,7,0.45892351274787535,427713.88
0,8,0.5429553264604811,445747.94
0,9,0.5411392405063291,441828.94
1,0,0.4793650793650794,439831.7
1,1,0.4792332268370607,425892.0
1,2,0.44077134986225897,451724.75
1,3,0.4281609195402299,418870.75
1,4,0.4378698224852071,441140.22
1,5,0.42424242424242425,458049.25
1,6,0.4065281899109792,418620.38
1,7,0.44571428571428573,437895.62
1,8,0.41032608695652173,459167.3
1,9,0.48089171974522293,422502.25
2,0,0.5746031746031746,384565.66
2,1,0.5224358974358975,421109.44
2,2,0.5195195195195195,404893.56
2,3,0.4891640866873065,395269.2
2,4,0.5481283422459893,416120.25
2,5,0.5307262569832403,400234.66
2,6,0.590443686006826,409805.88
2,7,0.5942492012779552,398165.9
2,8,0.5648148148148148,380778.7
2,9,0.5850746268656717,380798.72
3,0,0.5396825396825397,399650.44
3,1,0.5224358974358975,402505.75
3,2,0.5165165165165165,436953.78
3,3,0.5046439628482973,412369.8
3,4,0.5267379679144385,367138.3
3,5,0.5335195530726257,388445.97
3,6,0.552901023890785,426043.25
3,7,0.5335463258785943,422791.44
3,8,0.5185185185185185,417532.97
3,9,0.5283582089552239,406436.1
