Instancia,replica,U_relativa,D_camiones
0,0,0.49508196721311476,397351.25
0,1,0.5099337748344371,402703.2
0,2,0.4447592067988669,406368.94
0,3,0.42105263157894735,395277.1
0,4,0.41156462585034015,414757.88
0,5,0.4854368932038835,409771.56
0,6,0.5098814229249012,422760.1
0,7,0.40793201133144474,402124.47
0,8,0.5154639175257731,410264.8
0,9,0.48417721518987344,419027.66
1,0,0.45396825396825397,404880.16
1,1,0.44089456869009586,403109.5
1,2,0.418732782369146,415630.12
1,3,0.3706896551724138,414687.0
1,4,0.41420118343195267,411762.72
1,5,0.41818181818181815,405001.9
1,6,0.39465875370919884,389168.53
1,7,0.38285714285714284,402265.5
1,8,0.41032608695652173,407590.94
1,9,0.43630573248407645,401213.38
2,0,0.5111111111111111,354112.44
2,1,0.5224358974358975,365880.5
2,2,0.4954954954954955,389371.7
2,3,0.5077399380804953,352903.6
2,4,0.4946524064171123,366192.38
2,5,0.4748603351955307,382453.97
2,6,0.5699658703071673,362046.03
2,7,0.5303514376996805,358914.12
2,8,0.4845679012345679,392185.9
2,9,0.5313432835820896,344556.2
3,0,0.49523809523809526,384270.12
3,1,0.4583333333333333,381525.44
3,2,0.46846846846846846,397867.72
3,3,0.47368421052631576,372709.75
3,4,0.4732620320855615,358841.56
3,5,0.48324022346368717,375552.5
3,6,0.5460750853242321,395263.44
3,7,0.4696485623003195,391943.5
3,8,0.4444444444444444,398879.25
3,9,0.48059701492537316,363115.38
