tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,33664,1000000000000,1000000000000,1000000000000,1000000000000,True
45992,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
33186,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,34446,1000000000000,1000000000000,False
40057,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,39152,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37216,1000000000000,1000000000000,False
34133,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42801,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,35799,1000000000000,1000000000000,False
44745,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
35258,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43143,1000000000000,1000000000000,False
56817,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
39185,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,38980,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46753,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,37403,False
1000000000000,1000000000000,1000000000000,1000000000000,45756,1000000000000,False
1000000000000,1000000000000,1000000000000,46256,1000000000000,1000000000000,False
36505,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
36858,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47318,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,39721,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46581,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42495,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42066,False
38607,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37316,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47700,1000000000000,False
42033,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40396,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43735,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40007,False
1000000000000,1000000000000,1000000000000,48937,1000000000000,1000000000000,False
54354,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,44850,1000000000000,False
1000000000000,50060,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,48402,1000000000000,False
1000000000000,39480,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46311,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
42932,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,42377,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,40956,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,43304,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
40561,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,44401,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
41411,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,43220,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
