camion,timestamps,camion_pos
0,35764.40823689607,"(19624.727486886077, 9497.730870124373)"
0,36273.40823689607,"(17385.19249302105, 9457.839312663642)"
0,39607.41225488856,"(3178.76566553513, 9370.788335371686)"
0,40469.41225488856,"(3123.2768958434785, 4691.225866696574)"
0,41004.41225488856,"(4494.0235394536, 3600.20874945447)"
0,41276.41225488856,"(4604.923368557399, 4123.723290368528)"
0,43015.41225488856,"(12981.493175887861, 6567.624557701622)"
0,43507.41225488856,"(13764.157317331908, 7947.5797692880205)"
0,45083.01247878883,"(10303.503406674632, 11870.771382462943)"
0,45283.01247878883,"(10365.207333527844, 11945.48144860682)"
0,45723.01247878883,"(11966.54530244854, 12146.128965253425)"
0,46117.01247878883,"(11588.297986870015, 13252.425580166408)"
0,46798.01247878883,"(13010.232955834315, 15303.817291115693)"
0,47185.01247878883,"(11949.517252638601, 15676.65106837724)"
0,47591.01247878883,"(11465.887563588012, 16762.139263565918)"
0,47940.01247878883,"(10540.481924237241, 16518.415315997932)"
0,48326.01247878883,"(9316.25614040497, 16719.961275624188)"
0,48762.01247878883,"(7980.918922742222, 17159.725078454114)"
0,49340.01247878883,"(6903.842897625512, 15476.690464026806)"
0,49976.01247878883,"(6871.209495514079, 12343.115667912936)"
0,50404.01247878883,"(6853.069762418307, 10644.899776525983)"
0,50740.01247878883,"(7608.3940846559535, 10969.994433029535)"
0,50994.01247878883,"(7943.575548584221, 10794.652375198857)"
0,51391.01247878883,"(9102.873700723121, 10448.69152142338)"
0,52137.01247878883,"(9533.909500823183, 7887.3064763670045)"
0,52696.01247878883,"(9675.098838648255, 5398.224447843898)"
0,53002.01247878883,"(9346.215330753052, 5940.057529097644)"
0,53694.01247878883,"(6887.674640884665, 7030.803222684376)"
0,54193.01247878883,"(6617.7872597834385, 8975.551476628061)"
0,54675.01247878883,"(8189.557060104078, 8453.78226792379)"
0,55018.01247878883,"(8854.339335590543, 8915.81829154458)"
0,56545.49501075809,"(9421.309053876288, 3642.142776431665)"
0,57064.49501075809,"(9193.630255222623, 1518.668207392442)"
0,57412.49501075809,"(8673.106679127777, 873.2331541472238)"
0,58098.49501075809,"(5666.858965311632, 368.5543747643494)"
0,58590.49501075809,"(6687.2562262096435, 1510.0672760777845)"
0,59053.49501075809,"(6971.47334483941, 3185.748904856103)"
0,59684.49501075809,"(7823.395321607596, 5459.187497126299)"
0,60124.49501075809,"(8845.975247618206, 6239.039809902609)"
0,60396.49501075809,"(9464.202361626669, 6257.097130111751)"
1,33992.0,"(11418.090036883286, 367.3527388108)"
1,36563.0,"(6833.490037938417, 7618.190510219744)"
1,37200.0,"(4411.222498446466, 8367.995773353054)"
1,38084.0,"(751.9354641252174, 9595.626537130096)"
1,40846.134489335454,"(9073.872692105653, 10607.087874565123)"
1,41630.134489335454,"(8772.144329790768, 14496.531197481167)"
1,42647.134489335454,"(7998.104136083124, 19534.504773251578)"
1,42988.134489335454,"(7258.88543691984, 19909.60981408514)"
1,43348.134489335454,"(6462.613141405571, 19461.95496140693)"
1,44284.134489335454,"(6041.210036695901, 14639.16135171269)"
1,45097.134489335454,"(6646.292507102178, 10849.57271438735)"
1,45442.134489335454,"(7470.193660767753, 10529.98388307562)"
1,46963.134489335454,"(4616.583783080241, 9137.172897607374)"
1,47906.134489335454,"(3216.509381563801, 13030.389336045293)"
1,48352.134489335454,"(1738.5002990069866, 12664.81549821921)"
1,49148.134489335454,"(1382.6557237323889, 8743.30777633653)"
1,49563.134489335454,"(587.8889151301458, 7910.303396980305)"
1,49952.134489335454,"(708.4473683709014, 6581.02730739742)"
1,50316.134489335454,"(1833.9867022286028, 6727.409276568441)"
1,50682.134489335454,"(2316.8771356051534, 7533.907239735975)"
1,51273.134489335454,"(1858.5828875877985, 5140.945328641597)"
1,51885.134489335454,"(1169.092282171078, 2835.4878705420374)"
1,52260.134489335454,"(1158.4092111759658, 1493.8883551570802)"
1,52959.134489335454,"(4651.027167307602, 1599.307887186039)"
1,53498.134489335454,"(3891.1664637060194, 3326.632154862843)"
1,53850.134489335454,"(4905.710645106691, 3146.8131940505195)"
1,54172.134489335454,"(5173.76661395816, 3862.657291745861)"
1,54876.134489335454,"(7933.19552687124, 4740.557142166724)"
1,56235.134489335454,"(10008.90618261483, 10847.273299594766)"
1,57235.134489335454,"(10531.569333185875, 16014.995429722421)"
