camion,timestamps,camion_pos
0,34907.41274476696,"(3908.4467740418995, 3240.230846168657)"
0,35655.41274476696,"(882.9369681621433, 2326.155007858007)"
0,36376.41274476696,"(2165.654809987928, 4794.720573019646)"
0,36574.41274476696,"(2208.329370732056, 4874.764027647159)"
0,41915.2954045058,"(0.0, 7768.299413828365)"
0,42695.2954045058,"(281.060304655919, 3884.1864748637163)"
0,43653.2954045058,"(5096.92190454178, 4468.146281000782)"
0,44043.2954045058,"(5722.223309266262, 3636.0582878658274)"
0,44379.2954045058,"(6663.754009900923, 3499.4748025170766)"
0,44611.2954045058,"(6593.534591709344, 3789.499675511383)"
0,44858.2954045058,"(6932.381250567939, 3914.567155823742)"
0,45436.2954045058,"(7110.960405521624, 6496.919352150372)"
0,45906.2954045058,"(8078.668222181553, 7542.496473207324)"
0,47636.59421392372,"(5864.3925123259605, 8499.996057687371)"
0,47985.59421392372,"(4789.590227619452, 8402.254280758658)"
0,48265.59421392372,"(4264.986466328165, 8234.765901019438)"
0,48769.59421392372,"(3062.3687261077885, 7192.001959568349)"
0,49207.59421392372,"(3003.608009371542, 5463.512770111655)"
0,49423.59421392372,"(2758.2700524977727, 5460.40804771253)"
0,49637.59421392372,"(2702.8530125894167, 5285.503205600409)"
0,49931.59421392372,"(2969.7574889387724, 4760.900691098323)"
0,50702.59421392372,"(6617.459065413868, 4306.339997014491)"
0,50938.59421392372,"(6699.665012950772, 4608.970339558853)"
0,51340.59421392372,"(7066.241215263978, 5782.987751123886)"
0,51644.59421392372,"(7556.9677630842, 6152.542432265033)"
0,53673.59421392372,"(3618.8306978879423, 10162.836439222494)"
0,54099.59421392372,"(3575.5830672367647, 11827.827328173767)"
0,54361.59421392372,"(3190.1629658595157, 11649.10082005259)"
0,54638.59421392372,"(2946.842289974613, 12077.936941090307)"
0,55034.59421392372,"(2770.0162263751304, 13400.968662128651)"
0,55411.59421392372,"(2664.948127064661, 14657.589209578564)"
0,55651.59421392372,"(2905.445730586347, 14481.875812825643)"
0,55953.59421392372,"(3657.5394709149587, 14392.776333282512)"
0,56238.59421392372,"(3417.744279839048, 14878.363489899575)"
0,56638.59421392372,"(4238.162496163191, 15579.30924185158)"
0,57038.59421392372,"(3902.381904281118, 16765.400598727094)"
0,57356.59421392372,"(4089.0151196865513, 17533.694325301993)"
0,57634.59421392372,"(4434.614414548563, 17204.684443036575)"
0,58107.59421392372,"(5042.358611212146, 15777.965502465318)"
0,58413.59421392372,"(5333.909959160563, 16354.662429842503)"
0,58695.59421392372,"(5816.387399766156, 16579.561416174263)"
0,59128.59421392372,"(6835.608502321673, 17311.832664550475)"
0,59846.59421392372,"(7153.906468064188, 13896.093337569773)"
1,37943.3168803695,"(5791.689665186896, 12196.458072644362)"
1,38598.3168803695,"(3196.8594733580985, 12894.476125885656)"
1,38934.3168803695,"(3237.058582068418, 13933.035239664718)"
1,39540.3168803695,"(2970.4739472009815, 16619.416698360892)"
1,39814.3168803695,"(3285.9936677188525, 16950.071607951286)"
1,40364.3168803695,"(3374.869877306104, 14474.250799965632)"
1,41025.3168803695,"(3715.90266267212, 11475.962563653939)"
1,41512.3168803695,"(4005.177188157996, 9635.106656865299)"
1,43000.3168803695,"(12076.001404597646, 9359.437604382216)"
1,43341.3168803695,"(12983.939923689995, 9150.732356776138)"
1,43615.3168803695,"(13221.960099048227, 8738.434744519795)"
1,44226.3168803695,"(15414.2599101281, 7939.952504503216)"
1,44716.3168803695,"(16141.194109914142, 6515.283668942834)"
1,45159.3168803695,"(14489.770680779902, 6342.9164684956195)"
1,45987.3168803695,"(10054.443507331911, 6404.596247809131)"
1,47237.3168803695,"(13534.603062206641, 10241.729428379254)"
1,47617.3168803695,"(14693.773085246921, 10015.812161649366)"
1,48047.3168803695,"(14973.603667201902, 11468.555769972474)"
1,48678.3168803695,"(17095.07530145278, 12474.55487761515)"
1,49006.3168803695,"(17694.98185697636, 12896.162120404182)"
1,49318.3168803695,"(17774.192266357586, 13727.391111050558)"
1,49698.3168803695,"(17783.051698218205, 12349.133492915777)"
1,50084.3168803695,"(17761.541666029774, 10942.130061311453)"
1,50296.3168803695,"(17786.472161565736, 10747.942708643299)"
1,50612.3168803695,"(18573.36898548723, 10902.03105751421)"
1,50982.3168803695,"(17953.44396089783, 10209.070773759666)"
1,51286.3168803695,"(18287.110317533432, 9687.995200006446)"
1,51547.3168803695,"(18335.97132215075, 9175.361838657644)"
1,51962.3168803695,"(17322.731505247208, 8560.17597878673)"
1,52249.3168803695,"(16961.17238630682, 8936.279033965115)"
