tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador,,,
1E+12,1E+12,51834,1E+12,FALSE,,,
1E+12,1E+12,1E+12,55844,FALSE,,,
1E+12,1E+12,57859,1E+12,FALSE,,,
1E+12,1E+12,1E+12,57596,FALSE,,,
1E+12,1E+12,1E+12,56788,FALSE,,,
1E+12,53942,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,57930,FALSE,,,
1E+12,1E+12,1E+12,59424,TRUE,,,
1E+12,1E+12,1E+12,57091,FALSE,,,
1E+12,58387,1E+12,1E+12,FALSE,,,
1E+12,56300,1E+12,1E+12,FALSE,,,
49640,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,58166,FALSE,,,
1E+12,1E+12,1E+12,59173,TRUE,,,
1E+12,1E+12,1E+12,59203,TRUE,,,
1E+12,1E+12,1E+12,59848,TRUE,,,
1E+12,55459,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,58652,FALSE,,,
1E+12,1E+12,59354,1E+12,FALSE,,,
1E+12,1E+12,1E+12,58507,FALSE,,,
1E+12,1E+12,1E+12,59543,TRUE,,,
1E+12,1E+12,1E+12,59010,FALSE,,,
1E+12,57785,1E+12,1E+12,FALSE,,,
1E+12,56685,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,60521,TRUE,,,
1E+12,1E+12,57497,1E+12,FALSE,,,
1E+12,57255,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,59669,FALSE,,,
1E+12,1E+12,1E+12,59177,FALSE,,,
1E+12,1E+12,1E+12,59146,TRUE,,,
1E+12,1E+12,1E+12,59226,FALSE,,,
1E+12,1E+12,1E+12,59079,FALSE,,,
1E+12,1E+12,58579,1E+12,FALSE,,,
1E+12,1E+12,1E+12,58553,FALSE,,,
1E+12,1E+12,1E+12,59602,FALSE,,,
1E+12,1E+12,1E+12,58966,TRUE,,,
1E+12,1E+12,58153,1E+12,FALSE,,,
58393,1E+12,1E+12,1E+12,TRUE,,,
1E+12,54450,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,58965,TRUE,,,
53750,1E+12,1E+12,1E+12,TRUE,,,
1E+12,54987,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,59185,TRUE,,,
1E+12,1E+12,1E+12,59507,FALSE,,,
1E+12,1E+12,1E+12,58910,FALSE,,,
1E+12,1E+12,1E+12,59350,FALSE,,,
1E+12,1E+12,1E+12,58936,TRUE,,,
1E+12,1E+12,1E+12,59238,TRUE,,,
1E+12,1E+12,1E+12,58478,FALSE,,,
1E+12,1E+12,1E+12,58837,TRUE,,,
52813,1E+12,1E+12,1E+12,TRUE,,,
1E+12,55699,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,59302,TRUE,,,
1E+12,1E+12,1E+12,60096,TRUE,,,
1E+12,1E+12,1E+12,60320,FALSE,,,
1E+12,1E+12,1E+12,58999,FALSE,,,
55694,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,59565,TRUE,,,
59260,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,59986,TRUE,,,
1E+12,1E+12,1E+12,58895,FALSE,,,
1E+12,1E+12,1E+12,59778,TRUE,,,
55161,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,59947,TRUE,,,
1E+12,1E+12,1E+12,59416,TRUE,,,
56927,1E+12,1E+12,1E+12,TRUE,,,
58066,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,59152,TRUE,,,
